method,repeat,metric,value
Random Convex MDT_t1,0,chs,3.607016482196029
Random Convex MDT_t1,0,ami,0.5808824799583951
Random Convex MDT_t1,0,ari,0.46340008984604825
Random Convex MDT_t1,1,chs,3.612148403620267
Random Convex MDT_t1,1,ami,0.6175277201880774
Random Convex MDT_t1,1,ari,0.5348727813041431
Random Convex MDT_t1,2,chs,3.6305155312041673
Random Convex MDT_t1,2,ami,0.5971017417946489
Random Convex MDT_t1,2,ari,0.48190512265788177
Random Convex MDT_t1,3,chs,3.5569998383078043
Random Convex MDT_t1,3,ami,0.5563066968796365
Random Convex MDT_t1,3,ari,0.4724815113683071
Random Convex MDT_t1,4,chs,3.634060086154657
Random Convex MDT_t1,4,ami,0.5949264125301714
Random Convex MDT_t1,4,ari,0.4830741196051508
Random Convex MDT_t1,5,chs,3.605654048107214
Random Convex MDT_t1,5,ami,0.6092667428592174
Random Convex MDT_t1,5,ari,0.517010124059064
Random Convex MDT_t1,6,chs,3.635629480055305
Random Convex MDT_t1,6,ami,0.598707482840791
Random Convex MDT_t1,6,ari,0.48347267748866657
Random Convex MDT_t1,7,chs,3.6031618820639952
Random Convex MDT_t1,7,ami,0.6423970752412019
Random Convex MDT_t1,7,ari,0.5852610761827846
Random Convex MDT_t1,8,chs,3.5592443573463926
Random Convex MDT_t1,8,ami,0.5968902585678685
Random Convex MDT_t1,8,ari,0.4728430845236431
Random Convex MDT_t1,9,chs,3.6170446892704606
Random Convex MDT_t1,9,ami,0.641068633615577
Random Convex MDT_t1,9,ari,0.5868608513286413
Random Convex MDT_t1,10,chs,3.577357153964515
Random Convex MDT_t1,10,ami,0.5674429042910912
Random Convex MDT_t1,10,ari,0.4466656510796658
Random Convex MDT_t1,11,chs,3.6245430786927266
Random Convex MDT_t1,11,ami,0.5773908756557922
Random Convex MDT_t1,11,ari,0.4647651034195003
Random Convex MDT_t1,12,chs,3.5820620804989693
Random Convex MDT_t1,12,ami,0.6130954736665961
Random Convex MDT_t1,12,ari,0.5643215820185241
Random Convex MDT_t1,13,chs,3.6318091436855817
Random Convex MDT_t1,13,ami,0.6000577603661655
Random Convex MDT_t1,13,ari,0.48512108382087377
Random Convex MDT_t1,14,chs,3.571588528226983
Random Convex MDT_t1,14,ami,0.6020910277459031
Random Convex MDT_t1,14,ari,0.47805153139540235
Random Convex MDT_t1,15,chs,3.5177005568343076
Random Convex MDT_t1,15,ami,0.623312416791218
Random Convex MDT_t1,15,ari,0.5783492811421745
Random Convex MDT_t1,16,chs,3.600348035384837
Random Convex MDT_t1,16,ami,0.6355996067075692
Random Convex MDT_t1,16,ari,0.5840298136877745
Random Convex MDT_t1,17,chs,3.5025951316616113
Random Convex MDT_t1,17,ami,0.5410460263540953
Random Convex MDT_t1,17,ari,0.50718062490872
Random Convex MDT_t1,18,chs,3.536885703844193
Random Convex MDT_t1,18,ami,0.5458888056238423
Random Convex MDT_t1,18,ari,0.4425154257413805
Random Convex MDT_t1,19,chs,3.5500051891015887
Random Convex MDT_t1,19,ami,0.5562508318232054
Random Convex MDT_t1,19,ari,0.4484535131626781
Random Convex MDT_t1,20,chs,3.543076511153337
Random Convex MDT_t1,20,ami,0.5521946895695412
Random Convex MDT_t1,20,ari,0.45043873030032194
Random Convex MDT_t1,21,chs,3.4251682604302087
Random Convex MDT_t1,21,ami,0.34578539389201185
Random Convex MDT_t1,21,ari,0.14924573118672343
Random Convex MDT_t1,22,chs,3.6220145751084014
Random Convex MDT_t1,22,ami,0.577712222805889
Random Convex MDT_t1,22,ari,0.49506058089423727
Random Convex MDT_t1,23,chs,3.6186771342448947
Random Convex MDT_t1,23,ami,0.5891732359467089
Random Convex MDT_t1,23,ari,0.4783305335742447
Random Convex MDT_t1,24,chs,3.4183332070306043
Random Convex MDT_t1,24,ami,0.5275196056749959
Random Convex MDT_t1,24,ari,0.4856335729254415
Random Convex MDT_t1,25,chs,3.580157501962334
Random Convex MDT_t1,25,ami,0.598746650710458
Random Convex MDT_t1,25,ari,0.5039050299671247
Random Convex MDT_t1,26,chs,3.6215469637424142
Random Convex MDT_t1,26,ami,0.6505565279539731
Random Convex MDT_t1,26,ari,0.5899898172079251
Random Convex MDT_t1,27,chs,3.6198871735882534
Random Convex MDT_t1,27,ami,0.587933382772414
Random Convex MDT_t1,27,ari,0.4751353336512256
Random Convex MDT_t1,28,chs,3.62061410670054
Random Convex MDT_t1,28,ami,0.6422223982551799
Random Convex MDT_t1,28,ari,0.5885729896983366
Random Convex MDT_t1,29,chs,3.6165575602836513
Random Convex MDT_t1,29,ami,0.6418405204618601
Random Convex MDT_t1,29,ari,0.587583767110788
Random Convex MDT_t1,30,chs,3.600327653736489
Random Convex MDT_t1,30,ami,0.6359803517511935
Random Convex MDT_t1,30,ari,0.5746789851400429
Random Convex MDT_t1,31,chs,3.55394930520877
Random Convex MDT_t1,31,ami,0.5830463535649434
Random Convex MDT_t1,31,ari,0.47555831980465324
Random Convex MDT_t1,32,chs,3.6390019127293898
Random Convex MDT_t1,32,ami,0.5997118586442827
Random Convex MDT_t1,32,ari,0.4803026469530659
Random Convex MDT_t1,33,chs,3.599905286919579
Random Convex MDT_t1,33,ami,0.6324789862682191
Random Convex MDT_t1,33,ari,0.5725121047417927
Random Convex MDT_t1,34,chs,3.5531258766302223
Random Convex MDT_t1,34,ami,0.5709671843978434
Random Convex MDT_t1,34,ari,0.4599492669935167
Random Convex MDT_t1,35,chs,3.622821917393273
Random Convex MDT_t1,35,ami,0.6424983844741308
Random Convex MDT_t1,35,ari,0.588469570471796
Random Convex MDT_t1,36,chs,3.589938879433659
Random Convex MDT_t1,36,ami,0.6226472101762401
Random Convex MDT_t1,36,ari,0.5556057756044324
Random Convex MDT_t1,37,chs,3.52648999628436
Random Convex MDT_t1,37,ami,0.5841411956266617
Random Convex MDT_t1,37,ari,0.47509656451960725
Random Convex MDT_t1,38,chs,3.58293345330145
Random Convex MDT_t1,38,ami,0.5661769885071629
Random Convex MDT_t1,38,ari,0.4208457343157365
Random Convex MDT_t1,39,chs,3.5228253822002977
Random Convex MDT_t1,39,ami,0.6430283441684351
Random Convex MDT_t1,39,ari,0.5857174540619138
Random Convex MDT_t1,40,chs,3.5677898593564947
Random Convex MDT_t1,40,ami,0.6025578342001452
Random Convex MDT_t1,40,ari,0.5109306851097816
Random Convex MDT_t1,41,chs,3.5126610081238745
Random Convex MDT_t1,41,ami,0.6129306080948355
Random Convex MDT_t1,41,ari,0.5383529914949371
Random Convex MDT_t1,42,chs,3.624331508895274
Random Convex MDT_t1,42,ami,0.6393383275700917
Random Convex MDT_t1,42,ari,0.5865030123480445
Random Convex MDT_t1,43,chs,3.6352273817904446
Random Convex MDT_t1,43,ami,0.6038006340173347
