method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.5662313657495339,0.6018368851317683,3.5813558066454556,0.048490020316126904,0.04884053327349896
Random MDT,1,,,,,
Random Convex MDT,2,0.07772200532421215,0.610668279881991,3.596105689771433,0.030259331277477184,0.036092438766860004
Random MDT,2,,,,,
Random Convex MDT,3,0.18406442876821488,0.618866976609345,3.599192684026176,0.02750280773593158,0.035975697544422404
Random MDT,3,,,,,
Random Convex MDT,4,0.02342452772892474,0.6161305308377711,3.59907470576313,0.043554400963508655,0.035326303315980814
Random MDT,4,,,,,
Random Convex MDT,5,0.09990727943388364,0.6161913251188365,3.6022214101611594,0.02716476274617431,0.03844520103048657
Random MDT,5,,,,,
Random Convex MDT,6,0.1930834961425933,0.6208307491869958,3.6010007414920504,0.0455387201241814,0.03386426015066746
Random MDT,6,,,,,
Random Convex MDT,7,-0.11239878791315613,0.6263208798396843,3.6092146189208325,0.028185444048076148,0.03097264121001226
Random MDT,7,,,,,
Random Convex MDT,8,0.05732245307384387,0.6307402521380776,3.5976256416275505,0.0393756444639938,0.04832424299751695
Random MDT,8,,,,,
Random Convex MDT,9,0.036900577722791005,0.6185101725081814,3.6002080680287687,0.03544794186143687,0.03408860108346185
Random MDT,9,,,,,
Random Convex MDT,10,0.3585087285299431,0.627480496916163,3.5993485388484414,0.04808580130054881,0.03418774709291649
Random MDT,10,,,,,
Random Convex MDT,11,0.0836365238159083,0.6312048852547953,3.601526541832281,0.032409128115529484,0.029270281716068408
Random MDT,11,,,,,
Random Convex MDT,12,0.17972267743510584,0.6265699103743758,3.6042511979001493,0.03356926842050296,0.03851169116245856
Random MDT,12,,,,,
Random Convex MDT,13,-0.030023621626073915,0.6360928458340256,3.607192741557222,0.03292860943417202,0.026895480401900165
Random MDT,13,,,,,
Random Convex MDT,14,0.20184993365135553,0.6303010374996428,3.5964085626191644,0.036941206641546896,0.05462388863668793
Random MDT,14,,,,,
Random Convex MDT,15,0.3019885932038427,0.6377401095541232,3.5993047960418965,0.03583396659079747,0.0430634140727303
Random MDT,15,,,,,
Random Convex MDT,16,-0.03705252394602762,0.6388995059928009,3.599287982773593,0.033312334367797014,0.043091489836562934
Random MDT,16,,,,,
Random Convex MDT,17,0.19871462855383404,0.6362112220658038,3.602712211724545,0.03821430771479836,0.031285996882744936
Random MDT,17,,,,,
