method,repeat,metric,value
Random Convex MDT_t1,0,chs,7.714010293626263
Random Convex MDT_t1,0,ami,0.746173162830343
Random Convex MDT_t1,0,ari,0.5030473591726604
Random Convex MDT_t1,1,chs,7.736231747503087
Random Convex MDT_t1,1,ami,0.7304251804087855
Random Convex MDT_t1,1,ari,0.4946415996539164
Random Convex MDT_t1,2,chs,7.862922342653179
Random Convex MDT_t1,2,ami,0.7411467128317049
Random Convex MDT_t1,2,ari,0.4916683682838054
Random Convex MDT_t1,3,chs,7.834358090611917
Random Convex MDT_t1,3,ami,0.750336586491145
Random Convex MDT_t1,3,ari,0.4930952442545595
Random Convex MDT_t1,4,chs,7.78882547162366
Random Convex MDT_t1,4,ami,0.7481260703682047
Random Convex MDT_t1,4,ari,0.49986526296891565
Random Convex MDT_t1,5,chs,7.853779415950157
Random Convex MDT_t1,5,ami,0.7541616948129497
Random Convex MDT_t1,5,ari,0.5184017533028581
Random Convex MDT_t1,6,chs,7.854470365271356
Random Convex MDT_t1,6,ami,0.7511177911025012
Random Convex MDT_t1,6,ari,0.5011515387061988
Random Convex MDT_t1,7,chs,7.8376444998067045
Random Convex MDT_t1,7,ami,0.7451276465251202
Random Convex MDT_t1,7,ari,0.5172418749139909
Random Convex MDT_t1,8,chs,7.87740407143098
Random Convex MDT_t1,8,ami,0.7532344807517092
Random Convex MDT_t1,8,ari,0.5113958594026744
Random Convex MDT_t1,9,chs,7.815983450870643
Random Convex MDT_t1,9,ami,0.7544607011100645
Random Convex MDT_t1,9,ari,0.5397309758428744
Random Convex MDT_t1,10,chs,7.765089956011149
Random Convex MDT_t1,10,ami,0.7492771705425989
Random Convex MDT_t1,10,ari,0.5167284342952009
Random Convex MDT_t1,11,chs,7.816625000923881
Random Convex MDT_t1,11,ami,0.7444248444087335
Random Convex MDT_t1,11,ari,0.5126121213633712
Random Convex MDT_t1,12,chs,7.846830421130605
Random Convex MDT_t1,12,ami,0.743683051971646
Random Convex MDT_t1,12,ari,0.5221405098046951
Random Convex MDT_t1,13,chs,7.780172484262368
Random Convex MDT_t1,13,ami,0.7458875749865668
Random Convex MDT_t1,13,ari,0.5283378523092395
Random Convex MDT_t1,14,chs,7.730529778925387
Random Convex MDT_t1,14,ami,0.7385514864320953
Random Convex MDT_t1,14,ari,0.49913325411905796
Random Convex MDT_t1,15,chs,7.810027219433351
Random Convex MDT_t1,15,ami,0.7575707242751745
Random Convex MDT_t1,15,ari,0.5438404767934988
Random Convex MDT_t1,16,chs,7.8380034771259774
Random Convex MDT_t1,16,ami,0.7545802576217846
Random Convex MDT_t1,16,ari,0.533865748570241
Random Convex MDT_t1,17,chs,7.839068793265782
Random Convex MDT_t1,17,ami,0.7553607843735592
Random Convex MDT_t1,17,ari,0.5231339704864869
Random Convex MDT_t1,18,chs,7.807191606171762
Random Convex MDT_t1,18,ami,0.7434636510262197
Random Convex MDT_t1,18,ari,0.5132889614758677
Random Convex MDT_t1,19,chs,7.833006204446761
Random Convex MDT_t1,19,ami,0.7449425722998739
Random Convex MDT_t1,19,ari,0.49084859926446134
Random Convex MDT_t1,20,chs,7.812886002563182
Random Convex MDT_t1,20,ami,0.7507231523518569
Random Convex MDT_t1,20,ari,0.5298429295395342
Random Convex MDT_t1,21,chs,7.740620478129212
Random Convex MDT_t1,21,ami,0.7331084051388456
Random Convex MDT_t1,21,ari,0.5255016889918528
Random Convex MDT_t1,22,chs,7.836904462777528
Random Convex MDT_t1,22,ami,0.7424105488271447
Random Convex MDT_t1,22,ari,0.5215629063590085
Random Convex MDT_t1,23,chs,7.819757198462457
Random Convex MDT_t1,23,ami,0.7579224144860395
Random Convex MDT_t1,23,ari,0.5527964939487243
Random Convex MDT_t1,24,chs,7.8125236272916965
Random Convex MDT_t1,24,ami,0.7384623278452493
Random Convex MDT_t1,24,ari,0.5106003516968063
Random Convex MDT_t1,25,chs,7.8523194527579365
Random Convex MDT_t1,25,ami,0.7644312695128473
Random Convex MDT_t1,25,ari,0.5388546307804946
Random Convex MDT_t1,26,chs,7.62811075903871
Random Convex MDT_t1,26,ami,0.752682250469951
Random Convex MDT_t1,26,ari,0.5352011293560741
Random Convex MDT_t1,27,chs,7.76484746786673
Random Convex MDT_t1,27,ami,0.7448397581681534
Random Convex MDT_t1,27,ari,0.5372537771384934
Random Convex MDT_t1,28,chs,7.797171123505844
Random Convex MDT_t1,28,ami,0.7526303436190925
Random Convex MDT_t1,28,ari,0.526573428302124
Random Convex MDT_t1,29,chs,7.848558934344184
Random Convex MDT_t1,29,ami,0.7527598026971206
Random Convex MDT_t1,29,ari,0.4870140056339288
Random Convex MDT_t1,30,chs,7.769072100098839
Random Convex MDT_t1,30,ami,0.732287896345315
Random Convex MDT_t1,30,ari,0.5085666379327847
Random Convex MDT_t1,31,chs,7.742123890931066
Random Convex MDT_t1,31,ami,0.7430675391481998
Random Convex MDT_t1,31,ari,0.5214127879287571
Random Convex MDT_t1,32,chs,7.815683380390179
Random Convex MDT_t1,32,ami,0.762263196162602
Random Convex MDT_t1,32,ari,0.5243210821352869
Random Convex MDT_t1,33,chs,7.797213321675064
Random Convex MDT_t1,33,ami,0.7428742158398667
Random Convex MDT_t1,33,ari,0.5193503514568839
Random Convex MDT_t1,34,chs,7.774250502985244
Random Convex MDT_t1,34,ami,0.750957254867866
Random Convex MDT_t1,34,ari,0.5341266059246854
Random Convex MDT_t1,35,chs,7.711508184543195
Random Convex MDT_t1,35,ami,0.7346925157925973
Random Convex MDT_t1,35,ari,0.5033606487326048
Random Convex MDT_t1,36,chs,7.828689807251666
Random Convex MDT_t1,36,ami,0.7535567196632218
Random Convex MDT_t1,36,ari,0.521659990032369
Random Convex MDT_t1,37,chs,7.765557665696671
Random Convex MDT_t1,37,ami,0.7660109659020733
Random Convex MDT_t1,37,ari,0.5300421457166208
