method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.5248131945951584,0.7473824076744181,7.80463898212938,0.009007888304458735,0.052926525719613315
Random MDT,1,0.3502563440391223,0.743688054973941,7.753011397408204,0.008721751817660694,0.058706244901788995
Random Convex MDT,2,0.2286880144117938,0.7694057970391625,7.825717808203861,0.007451975014956715,0.058275886852030674
Random MDT,2,0.3404418325572298,0.7657780260108497,7.803830929699842,0.008488917341690296,0.0628515996347523
Random Convex MDT,3,0.007213912371135664,0.7717149113040398,7.827267239307129,0.006125740385054697,0.058788266124853765
Random MDT,3,-0.11180153800340628,0.7689356907125874,7.831190462694844,0.006513362740052968,0.04761502488197392
Random Convex MDT,4,-0.15015802448299972,0.7720363754675827,7.820992392556206,0.0065665975892548354,0.06333715149474066
Random MDT,4,-0.2583638423422073,0.7710555137399302,7.8048701439670545,0.006138127469433727,0.06567455644761502
Random Convex MDT,5,-0.5227854229865364,0.7736674790790201,7.818172371013783,0.005092158441959275,0.061638591042727606
Random MDT,5,-0.35984062359595653,0.7709314462632106,7.796980018119675,0.006156149182964418,0.07499899366834867
Random Convex MDT,6,-0.5037370760552883,0.7765971740535133,7.773009389024246,0.005917010234674532,0.0766198526679939
Random MDT,6,-0.4596849291082098,0.7743985233116626,7.785696108585073,0.007248479585034878,0.07431745314790619
Random Convex MDT,7,-0.4446250462082843,0.7770573605635539,7.77680739995092,0.00462036226161916,0.08036351766774433
Random MDT,7,-0.4200488997850816,0.7752721164968386,7.762988326079432,0.006927069813966266,0.07384357724670085
Random Convex MDT,8,-0.5627029905229954,0.7782671002589744,7.749586401592125,0.005499202894782352,0.08561092100584022
Random MDT,8,-0.6469225724836245,0.7764826614265679,7.7462650870052805,0.006869756872027967,0.08336736998256752
Random Convex MDT,9,-0.609172437708185,0.7799499155740448,7.7417219489159415,0.005960405158587948,0.0929050787604682
Random MDT,9,-0.482312795692134,0.7781589957354212,7.735319261042402,0.006098984423393479,0.08008531075211696
Random Convex MDT,10,-0.6126383462985094,0.7831702113949182,7.700784211252487,0.006506820073986052,0.0992112607933028
Random MDT,10,-0.439212141425426,0.7810133216882013,7.69485204195098,0.006544455288672197,0.0959754397852415
Random Convex MDT,11,-0.5713529473457276,0.7850590401606392,7.668262074564111,0.006078747921444188,0.08989598175375708
Random MDT,11,-0.4094020330187573,0.7828604372914835,7.669911741788193,0.006865500340938799,0.11307868533631905
Random Convex MDT,12,-0.6152783522046474,0.7868868892210944,7.641027002090862,0.005751938808913656,0.09867087659035925
