method,repeat,metric,value
Random Convex MDT_t1,0,chs,5.768807178795899
Random Convex MDT_t1,0,ami,0.9227870760628116
Random Convex MDT_t1,0,ari,0.8477152270901906
Random Convex MDT_t1,1,chs,5.829857788831741
Random Convex MDT_t1,1,ami,0.9376212154381367
Random Convex MDT_t1,1,ari,0.874222778550484
Random Convex MDT_t1,2,chs,5.805503589049059
Random Convex MDT_t1,2,ami,0.9299588143307264
Random Convex MDT_t1,2,ari,0.8418207175455337
Random Convex MDT_t1,3,chs,5.749852135578023
Random Convex MDT_t1,3,ami,0.9063748811855517
Random Convex MDT_t1,3,ari,0.8130764468235863
Random Convex MDT_t1,4,chs,5.690344964166109
Random Convex MDT_t1,4,ami,0.8896342851505951
Random Convex MDT_t1,4,ari,0.7790245047978692
Random Convex MDT_t1,5,chs,5.237069508997452
Random Convex MDT_t1,5,ami,0.7367186697243787
Random Convex MDT_t1,5,ari,0.5403931754016169
Random Convex MDT_t1,6,chs,5.758573876603381
Random Convex MDT_t1,6,ami,0.9182889103927796
Random Convex MDT_t1,6,ari,0.8494581379405513
Random Convex MDT_t1,7,chs,5.7558177481381705
Random Convex MDT_t1,7,ami,0.9297453247239812
Random Convex MDT_t1,7,ari,0.838744814238279
Random Convex MDT_t1,8,chs,5.536715696806335
Random Convex MDT_t1,8,ami,0.7993637313587854
Random Convex MDT_t1,8,ari,0.6292495815002875
Random Convex MDT_t1,9,chs,5.784723730424386
Random Convex MDT_t1,9,ami,0.9260053605888221
Random Convex MDT_t1,9,ari,0.8443187001694482
Random Convex MDT_t1,10,chs,5.789162945066565
Random Convex MDT_t1,10,ami,0.9310042086751039
Random Convex MDT_t1,10,ari,0.8105374934470518
Random Convex MDT_t1,11,chs,5.589454897475682
Random Convex MDT_t1,11,ami,0.8697557794621685
Random Convex MDT_t1,11,ari,0.755169022065527
Random Convex MDT_t1,12,chs,4.965704370268479
Random Convex MDT_t1,12,ami,0.5888160536343349
Random Convex MDT_t1,12,ari,0.3731611215388264
Random Convex MDT_t1,13,chs,5.704436241523901
Random Convex MDT_t1,13,ami,0.8789293177495372
Random Convex MDT_t1,13,ari,0.7568044800939259
Random Convex MDT_t1,14,chs,5.409428198638486
Random Convex MDT_t1,14,ami,0.8226413318886697
Random Convex MDT_t1,14,ari,0.6555485586380881
Random Convex MDT_t1,15,chs,5.203755871452745
Random Convex MDT_t1,15,ami,0.7778997272704116
Random Convex MDT_t1,15,ari,0.6198144100444775
Random Convex MDT_t1,16,chs,5.07512321497452
Random Convex MDT_t1,16,ami,0.6597897148630527
Random Convex MDT_t1,16,ari,0.46831938153619956
Random Convex MDT_t1,17,chs,5.169997523559587
Random Convex MDT_t1,17,ami,0.7295261387012157
Random Convex MDT_t1,17,ari,0.5662010180953443
Random Convex MDT_t1,18,chs,5.6901181343877285
Random Convex MDT_t1,18,ami,0.919007506431009
Random Convex MDT_t1,18,ari,0.8194903386848523
Random Convex MDT_t1,19,chs,5.512373337667476
Random Convex MDT_t1,19,ami,0.8190532928259597
Random Convex MDT_t1,19,ari,0.6438107960512846
Random Convex MDT_t1,20,chs,5.310313865366566
Random Convex MDT_t1,20,ami,0.7829574312074717
Random Convex MDT_t1,20,ari,0.6205076112839469
Random Convex MDT_t1,21,chs,5.646884444841764
Random Convex MDT_t1,21,ami,0.8590047156272708
Random Convex MDT_t1,21,ari,0.7038916251053907
Random Convex MDT_t1,22,chs,5.814744615473857
Random Convex MDT_t1,22,ami,0.9425525186508124
Random Convex MDT_t1,22,ari,0.8856400439078339
Random Convex MDT_t1,23,chs,5.294902772041962
Random Convex MDT_t1,23,ami,0.7682911817779549
Random Convex MDT_t1,23,ari,0.5965435335539424
Random Convex MDT_t1,24,chs,5.765024879373371
Random Convex MDT_t1,24,ami,0.9277490565132159
Random Convex MDT_t1,24,ari,0.8365056551022534
Random Convex MDT_t1,25,chs,5.804688158744088
Random Convex MDT_t1,25,ami,0.9296403544896227
Random Convex MDT_t1,25,ari,0.8630219075355737
Random Convex MDT_t1,26,chs,5.465453842772017
Random Convex MDT_t1,26,ami,0.8330661699621091
Random Convex MDT_t1,26,ari,0.6707402105506229
Random Convex MDT_t1,27,chs,5.584436445272595
Random Convex MDT_t1,27,ami,0.858554255267666
Random Convex MDT_t1,27,ari,0.7205708856445303
Random Convex MDT_t1,28,chs,5.700698247858827
Random Convex MDT_t1,28,ami,0.8863054212472046
Random Convex MDT_t1,28,ari,0.7552179746806218
Random Convex MDT_t1,29,chs,5.80873571948101
Random Convex MDT_t1,29,ami,0.9270689238488485
Random Convex MDT_t1,29,ari,0.8545693139007529
Random Convex MDT_t1,30,chs,5.7112720864808795
Random Convex MDT_t1,30,ami,0.9104452607314955
Random Convex MDT_t1,30,ari,0.8182537252462567
Random Convex MDT_t1,31,chs,4.969579133709214
Random Convex MDT_t1,31,ami,0.6603459257733453
Random Convex MDT_t1,31,ari,0.4608289112205517
Random Convex MDT_t1,32,chs,4.846096365744504
Random Convex MDT_t1,32,ami,0.6341928393672828
Random Convex MDT_t1,32,ari,0.4242798037346238
Random Convex MDT_t1,33,chs,5.56420196002298
Random Convex MDT_t1,33,ami,0.8455713249068663
Random Convex MDT_t1,33,ari,0.7090600360472643
Random Convex MDT_t1,34,chs,5.012140246031001
Random Convex MDT_t1,34,ami,0.6686093604081059
Random Convex MDT_t1,34,ari,0.47789617280156554
Random Convex MDT_t1,35,chs,5.768720307483496
Random Convex MDT_t1,35,ami,0.9266768758572188
Random Convex MDT_t1,35,ari,0.8612081094280237
Random Convex MDT_t1,36,chs,5.731357542984038
Random Convex MDT_t1,36,ami,0.9028779395605563
Random Convex MDT_t1,36,ari,0.7764877495486372
Random Convex MDT_t1,37,chs,5.796253612046631
Random Convex MDT_t1,37,ami,0.9211199386479365
Random Convex MDT_t1,37,ari,0.8444434549202768
Random Convex MDT_t1,38,chs,5.181066545513225
Random Convex MDT_t1,38,ami,0.7570534492304457
Random Convex MDT_t1,38,ari,0.5361102345344048
Random Convex MDT_t1,39,chs,5.638428525890817
Random Convex MDT_t1,39,ami,0.8803411528685007
Random Convex MDT_t1,39,ari,0.7842193666610136
Random Convex MDT_t1,40,chs,5.7769106173775855
Random Convex MDT_t1,40,ami,0.9342363129340064
Random Convex MDT_t1,40,ari,0.864272022126864
Random Convex MDT_t1,41,chs,5.523514644293296
Random Convex MDT_t1,41,ami,0.8501973266569309
Random Convex MDT_t1,41,ari,0.7358360770683143
Random Convex MDT_t1,42,chs,5.562648688408866
Random Convex MDT_t1,42,ami,0.8628780073402225
Random Convex MDT_t1,42,ari,0.6682960828800355
Random Convex MDT_t1,43,chs,5.426296129803333
Random Convex MDT_t1,43,ami,0.8228846867008734
Random Convex MDT_t1,43,ari,0.7045179373688902
Random Convex MDT_t1,44,chs,5.324790456765715
Random Convex MDT_t1,44,ami,0.7946174706031693
Random Convex MDT_t1,44,ari,0.6361162573815418
Random Convex MDT_t1,45,chs,5.798294185543156
Random Convex MDT_t1,45,ami,0.9097555878548135
Random Convex MDT_t1,45,ari,0.8189712456542283
Random Convex MDT_t1,46,chs,5.674594356094271
Random Convex MDT_t1,46,ami,0.8672074659821907
Random Convex MDT_t1,46,ari,0.7514067913762655
Random Convex MDT_t1,47,chs,5.769771264762631
Random Convex MDT_t1,47,ami,0.8910501144364346
Random Convex MDT_t1,47,ari,0.777192724513268
Random Convex MDT_t1,48,chs,5.027305516217103
Random Convex MDT_t1,48,ami,0.6483168308910994
Random Convex MDT_t1,48,ari,0.45291047153878594
Random Convex MDT_t1,49,chs,5.343290558291926
Random Convex MDT_t1,49,ami,0.799734780378982
Random Convex MDT_t1,49,ari,0.6445415617430595
