method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.9770570592879468,0.8434496213690034,5.541200811346422,0.08491584997409286,0.2520847781617028
Random MDT,1,0.8982183613361306,0.6184351907215961,4.937561518521159,0.07914714206764042,0.22554414773284892
Random Convex MDT,2,0.9495730055504281,0.8836078895009583,5.603339613690724,0.058812244669829976,0.18452682466180984
Random MDT,2,0.811246281976375,0.6868650866060372,4.961482334196789,0.07540771809732211,0.22694253255656135
Random Convex MDT,3,0.9560522369175348,0.9005940398372284,5.596029994082655,0.042732936208257265,0.16479805981793502
Random MDT,3,0.7252812146633583,0.6952607542411496,4.898394685250566,0.06542875629146182,0.23408558827291848
Random Convex MDT,4,0.956449367858772,0.887640593634618,5.512017948565678,0.059291172452738454,0.1987013203603941
Random MDT,4,0.7222553999519516,0.7107284785949473,4.863660947187184,0.06496379771860022,0.2599821836390715
Random Convex MDT,5,0.9624945780235151,0.8899547612197034,5.4712991629043835,0.04664190895722552,0.19755133545894765
Random MDT,5,0.813400959889747,0.7166647215787154,4.818684763178146,0.057626592498815375,0.2633705076519008
Random Convex MDT,6,0.9322624104526634,0.8890003695027225,5.432548015211593,0.036173668929837845,0.166474018622647
Random MDT,6,0.7773219701252464,0.7126461465123134,4.741705030118877,0.05744267012556585,0.2877124320459096
Random Convex MDT,7,0.9503733200557568,0.8701552587952235,5.292010177101867,0.04376009046312053,0.19436067138967655
Random MDT,7,0.7599842070428703,0.6929444856995032,4.635851743908141,0.05565459148577843,0.2720702604666152
Random Convex MDT,8,0.9348833079706225,0.8573452028449033,5.193979846283161,0.04363180181102963,0.19937678142576695
Random MDT,8,0.8576908228383754,0.7067441740740182,4.636210764163806,0.058107680649884155,0.2899541399342273
Random Convex MDT,9,0.9558585497994572,0.8467206668994679,5.12109773252476,0.0509293306028795,0.23130900461850643
Random MDT,9,0.833056012424905,0.709973083828827,4.600417848761543,0.05846350439072401,0.31470527427069245
Random Convex MDT,10,0.9400267281206892,0.8425050048200837,5.05058489779833,0.04529308302080285,0.21347622250402
Random MDT,10,0.7951580439933189,0.6907309995792531,4.476399625102046,0.054270584463902635,0.2948320973825712
Random Convex MDT,11,0.9315231447440414,0.8456826482843557,5.0449445909726975,0.04065824020435669,0.19425726180517197
Random MDT,11,0.8275847945612977,0.6829207946725184,4.410745322310416,0.055494061146911106,0.3039500696871155
Random Convex MDT,12,0.9099176472743036,0.8329994831461888,4.937207933753882,0.04134946365712194,0.20554262466803735
Random MDT,12,0.8202261952023803,0.6771749409447725,4.334158429214704,0.05000048773622152,0.2557371548844704
Random Convex MDT,13,0.9424576619421271,0.822780632430926,4.8484190294014375,0.04586464488763944,0.2125553575980664
Random MDT,13,0.8065170239836991,0.6761126489657654,4.329846683729383,0.05523550523477169,0.2970363836547536
