method,repeat,metric,value
Random Convex MDT_t1,0,ami,0.5984603881537317
Random Convex MDT_t1,0,ari,0.36027818509917825
Random Convex MDT_t1,1,ami,0.6031592054647704
Random Convex MDT_t1,1,ari,0.4186611679728055
Random Convex MDT_t1,2,ami,0.6616353466433271
Random Convex MDT_t1,2,ari,0.4922263624160419
Random Convex MDT_t1,3,ami,0.6600007907839557
Random Convex MDT_t1,3,ari,0.49099904786478477
Random Convex MDT_t1,4,ami,0.6749950331549992
Random Convex MDT_t1,4,ari,0.4872443099120261
Random Convex MDT_t1,5,ami,0.6567347344956145
Random Convex MDT_t1,5,ari,0.48762578567500026
Random Convex MDT_t1,6,ami,0.6161355713789674
Random Convex MDT_t1,6,ari,0.3767807826922105
Random Convex MDT_t1,7,ami,0.6586037335351739
Random Convex MDT_t1,7,ari,0.48950275295051643
Random Convex MDT_t1,8,ami,0.6299652057524221
Random Convex MDT_t1,8,ari,0.411387615819322
Random Convex MDT_t1,9,ami,0.6411963988608469
Random Convex MDT_t1,9,ari,0.4708176302442912
Random Convex MDT_t1,10,ami,0.6709514383368793
Random Convex MDT_t1,10,ari,0.5051673082846642
Random Convex MDT_t1,11,ami,0.6439006873859829
Random Convex MDT_t1,11,ari,0.42131614897324476
Random Convex MDT_t1,12,ami,0.6675276824129335
Random Convex MDT_t1,12,ari,0.4981077894742999
Random Convex MDT_t1,13,ami,0.6421463664160955
Random Convex MDT_t1,13,ari,0.46633836069620865
Random Convex MDT_t1,14,ami,0.6272749981409521
Random Convex MDT_t1,14,ari,0.36534310837919054
Random Convex MDT_t1,15,ami,0.5854362014014973
Random Convex MDT_t1,15,ari,0.34412821446636344
Random Convex MDT_t1,16,ami,0.6373139101261173
Random Convex MDT_t1,16,ari,0.41757806928727265
Random Convex MDT_t1,17,ami,0.6688087065970273
Random Convex MDT_t1,17,ari,0.4433255586460701
Random Convex MDT_t1,18,ami,0.6662416950840214
Random Convex MDT_t1,18,ari,0.4965177444672778
Random Convex MDT_t1,19,ami,0.6294070562899841
Random Convex MDT_t1,19,ari,0.43316182622649513
Random Convex MDT_t1,20,ami,0.6000164375435382
Random Convex MDT_t1,20,ari,0.4074988468665152
Random Convex MDT_t1,21,ami,0.648941133226788
Random Convex MDT_t1,21,ari,0.4242991264774624
Random Convex MDT_t1,22,ami,0.6146784019117008
Random Convex MDT_t1,22,ari,0.40464800657052546
Random Convex MDT_t1,23,ami,0.664478085183078
Random Convex MDT_t1,23,ari,0.49408578272236353
Random Convex MDT_t1,24,ami,0.6667068912870526
Random Convex MDT_t1,24,ari,0.49932742430401494
Random Convex MDT_t1,25,ami,0.6423318246092198
Random Convex MDT_t1,25,ari,0.439911933185826
Random Convex MDT_t1,26,ami,0.6625884261748639
