method,repeat,metric,value
Random Convex MDT_t1,0,ami,0.5977884532378844
Random Convex MDT_t1,0,ari,0.45154425200778053
Random Convex MDT_t1,1,ami,0.6226426178537815
Random Convex MDT_t1,1,ari,0.46224597015562247
Random Convex MDT_t1,2,ami,0.6307335004876033
Random Convex MDT_t1,2,ari,0.46674758316096177
Random Convex MDT_t1,3,ami,0.5796743577783455
Random Convex MDT_t1,3,ari,0.3843810991076692
Random Convex MDT_t1,4,ami,0.6238138952941463
Random Convex MDT_t1,4,ari,0.4570302145741431
Random Convex MDT_t1,5,ami,0.6257979967517048
Random Convex MDT_t1,5,ari,0.4638582488603036
Random Convex MDT_t1,6,ami,0.5859628358436701
Random Convex MDT_t1,6,ari,0.3866963138015277
Random Convex MDT_t1,7,ami,0.6201458817646519
Random Convex MDT_t1,7,ari,0.3942192148646887
Random Convex MDT_t1,8,ami,0.6181493196942777
Random Convex MDT_t1,8,ari,0.46419281744571844
Random Convex MDT_t1,9,ami,0.625219433683062
Random Convex MDT_t1,9,ari,0.3875906697752311
Random Convex MDT_t1,10,ami,0.5556410776327244
Random Convex MDT_t1,10,ari,0.35737322832328927
Random Convex MDT_t1,11,ami,0.5960540229826061
Random Convex MDT_t1,11,ari,0.45125503712615656
Random Convex MDT_t1,12,ami,0.6131473353509984
Random Convex MDT_t1,12,ari,0.4201351185378865
Random Convex MDT_t1,13,ami,0.573238553085912
Random Convex MDT_t1,13,ari,0.3517506607291485
Random Convex MDT_t1,14,ami,0.6048584492709371
Random Convex MDT_t1,14,ari,0.4123108473971211
Random Convex MDT_t1,15,ami,0.5634064804067418
Random Convex MDT_t1,15,ari,0.33166864310237115
Random Convex MDT_t1,16,ami,0.6202673365302807
Random Convex MDT_t1,16,ari,0.46105469507096103
Random Convex MDT_t1,17,ami,0.5873502083792637
Random Convex MDT_t1,17,ari,0.40153226618180704
Random Convex MDT_t1,18,ami,0.5518397618671171
Random Convex MDT_t1,18,ari,0.35552756726049295
Random Convex MDT_t1,19,ami,0.5592431461878746
Random Convex MDT_t1,19,ari,0.3683849512377773
Random Convex MDT_t1,20,ami,0.6300687102440614
Random Convex MDT_t1,20,ari,0.46632481333516324
Random Convex MDT_t1,21,ami,0.5733696944094318
Random Convex MDT_t1,21,ari,0.35153950771794273
Random Convex MDT_t1,22,ami,0.5902595322816486
Random Convex MDT_t1,22,ari,0.4111009648844582
Random Convex MDT_t1,23,ami,0.6176736233276275
Random Convex MDT_t1,23,ari,0.46067560802260005
Random Convex MDT_t1,24,ami,0.576880934001191
Random Convex MDT_t1,24,ari,0.3757325335431874
Random Convex MDT_t1,25,ami,0.6296479461047331
Random Convex MDT_t1,25,ari,0.4645296638014006
Random Convex MDT_t1,26,ami,0.6039994522755907
Random Convex MDT_t1,26,ari,0.413386221150149
Random Convex MDT_t1,27,ami,0.5484899945908579
Random Convex MDT_t1,27,ari,0.30793494212094524
Random Convex MDT_t1,28,ami,0.6054132096858248
Random Convex MDT_t1,28,ari,0.4147937361935019
Random Convex MDT_t1,29,ami,0.5846605244714629
Random Convex MDT_t1,29,ari,0.3867752533808075
Random Convex MDT_t1,30,ami,0.6094501516996383
Random Convex MDT_t1,30,ari,0.4647291118963698
Random Convex MDT_t1,31,ami,0.5699377747943004
Random Convex MDT_t1,31,ari,0.36239547325681726
Random Convex MDT_t1,32,ami,0.582361314416783
Random Convex MDT_t1,32,ari,0.3911821611777735
Random Convex MDT_t1,33,ami,0.5853889544475146
Random Convex MDT_t1,33,ari,0.3872135821888294
Random Convex MDT_t1,34,ami,0.6291370228055534
Random Convex MDT_t1,34,ari,0.46620125630440606
Random Convex MDT_t1,35,ami,0.5556654713958951
Random Convex MDT_t1,35,ari,0.3174673703664129
Random Convex MDT_t1,36,ami,0.561620150098804
Random Convex MDT_t1,36,ari,0.3706151193535419
Random Convex MDT_t1,37,ami,0.5951843807526896
Random Convex MDT_t1,37,ari,0.3591302704332157
Random Convex MDT_t1,38,ami,0.5672249553987483
Random Convex MDT_t1,38,ari,0.3327029456918302
Random Convex MDT_t1,39,ami,0.6400500536041852
Random Convex MDT_t1,39,ari,0.4513915542192298
Random Convex MDT_t1,40,ami,0.5786330292454805
Random Convex MDT_t1,40,ari,0.39124964128758405
Random Convex MDT_t1,41,ami,0.6289933581147473
Random Convex MDT_t1,41,ari,0.46533703984602737
Random Convex MDT_t1,42,ami,0.6317225298925203
Random Convex MDT_t1,42,ari,0.4672487019916758
Random Convex MDT_t1,43,ami,0.6021531390958549
Random Convex MDT_t1,43,ari,0.4225563348259906
Random Convex MDT_t1,44,ami,0.6257480897672055
Random Convex MDT_t1,44,ari,0.4585636912863755
Random Convex MDT_t1,45,ami,0.6229531997759682
Random Convex MDT_t1,45,ari,0.45608513958353947
Random Convex MDT_t1,46,ami,0.6113202923187103
Random Convex MDT_t1,46,ari,0.41970596474281663
Random Convex MDT_t1,47,ami,0.5793323810187645
Random Convex MDT_t1,47,ari,0.3923912126991265
Random Convex MDT_t1,48,ami,0.5739005281164038
Random Convex MDT_t1,48,ari,0.38604324805345136
Random Convex MDT_t1,49,ami,0.5990215417499735
Random Convex MDT_t1,49,ari,0.4249693032853569
Random Convex MDT_t1,50,ami,0.5704304599064328
Random Convex MDT_t1,50,ari,0.33475714212545543
Random Convex MDT_t1,51,ami,0.5710645921312655
Random Convex MDT_t1,51,ari,0.38923742903473035
Random Convex MDT_t1,52,ami,0.5848837923036119
Random Convex MDT_t1,52,ari,0.39864076180741653
Random Convex MDT_t1,53,ami,0.5598629298328782
Random Convex MDT_t1,53,ari,0.40113071422929386
Random Convex MDT_t1,54,ami,0.6199279684779405
Random Convex MDT_t1,54,ari,0.45563002117037377
Random Convex MDT_t1,55,ami,0.5806755891779772
Random Convex MDT_t1,55,ari,0.3963715550498903
Random Convex MDT_t1,56,ami,0.6272537295830943
Random Convex MDT_t1,56,ari,0.4628276791952596
Random Convex MDT_t1,57,ami,0.5697041077273922
Random Convex MDT_t1,57,ari,0.2902595406874178
Random Convex MDT_t1,58,ami,0.6181651125887003
Random Convex MDT_t1,58,ari,0.42472164505941234
Random Convex MDT_t1,59,ami,0.61966001040965
Random Convex MDT_t1,59,ari,0.4640761436228464
Random Convex MDT_t1,60,ami,0.5735665457104127
Random Convex MDT_t1,60,ari,0.35142895611398156
Random Convex MDT_t1,61,ami,0.6298570505389312
Random Convex MDT_t1,61,ari,0.4655916805463341
Random Convex MDT_t1,62,ami,0.6178478801942058
Random Convex MDT_t1,62,ari,0.454768117760128
Random Convex MDT_t1,63,ami,0.5611528310110083
Random Convex MDT_t1,63,ari,0.3993484802158036
Random Convex MDT_t1,64,ami,0.573224017636035
Random Convex MDT_t1,64,ari,0.37416391575427027
Random Convex MDT_t1,65,ami,0.5685805542457103
Random Convex MDT_t1,65,ari,0.3401595480551886
Random Convex MDT_t1,66,ami,0.5722634137932022
Random Convex MDT_t1,66,ari,0.33660169491770414
Random Convex MDT_t1,67,ami,0.6077536788223191
Random Convex MDT_t1,67,ari,0.38789868022500174
Random Convex MDT_t1,68,ami,0.6226187965799949
Random Convex MDT_t1,68,ari,0.46273810418044053
Random Convex MDT_t1,69,ami,0.6197643647020619
Random Convex MDT_t1,69,ari,0.4552671237390457
Random Convex MDT_t1,70,ami,0.5686801099430497
Random Convex MDT_t1,70,ari,0.3399692669220012
Random Convex MDT_t1,71,ami,0.6137211967948715
Random Convex MDT_t1,71,ari,0.42456839007916586
Random Convex MDT_t1,72,ami,0.6261003476499475
Random Convex MDT_t1,72,ari,0.4626606392895056
Random Convex MDT_t1,73,ami,0.604376448916575
Random Convex MDT_t1,73,ari,0.4368601358600403
Random Convex MDT_t1,74,ami,0.570742380732313
Random Convex MDT_t1,74,ari,0.3655561296496783
Random Convex MDT_t1,75,ami,0.6294453004212084
Random Convex MDT_t1,75,ari,0.46604592255219185
Random Convex MDT_t1,76,ami,0.5693261739950278
Random Convex MDT_t1,76,ari,0.34942324056916396
Random Convex MDT_t1,77,ami,0.6028989117222102
Random Convex MDT_t1,77,ari,0.42069295204955537
Random Convex MDT_t1,78,ami,0.5982502429163344
Random Convex MDT_t1,78,ari,0.34206965409684786
Random Convex MDT_t1,79,ami,0.6158933348199721
Random Convex MDT_t1,79,ari,0.4605606078580766
Random Convex MDT_t1,80,ami,0.5930740398014539
Random Convex MDT_t1,80,ari,0.4213199952725771
Random Convex MDT_t1,81,ami,0.5803189636988586
Random Convex MDT_t1,81,ari,0.38974497022024296
Random Convex MDT_t1,82,ami,0.575596403871667
Random Convex MDT_t1,82,ari,0.3826580599521802
Random Convex MDT_t1,83,ami,0.5836371308499463
Random Convex MDT_t1,83,ari,0.38375939982171436
