method,repeat,metric,value
Random Convex MDT_t1,0,chs,3.8810340766500433
Random Convex MDT_t1,0,ami,0.7016505545956429
Random Convex MDT_t1,0,ari,0.6275000253167121
Random Convex MDT_t1,1,chs,3.788428163472017
Random Convex MDT_t1,1,ami,0.7609397176580688
Random Convex MDT_t1,1,ari,0.7239961368818264
Random Convex MDT_t1,2,chs,3.7378161487866137
Random Convex MDT_t1,2,ami,0.5774301896626931
Random Convex MDT_t1,2,ari,0.4500062694699611
Random Convex MDT_t1,3,chs,3.717062755256934
Random Convex MDT_t1,3,ami,0.7055827776456632
Random Convex MDT_t1,3,ari,0.6106083716316801
Random Convex MDT_t1,4,chs,3.633069627646865
Random Convex MDT_t1,4,ami,0.6016743895933302
Random Convex MDT_t1,4,ari,0.5194570719282974
Random Convex MDT_t1,5,chs,3.6161009472088623
Random Convex MDT_t1,5,ami,0.6540228067815481
Random Convex MDT_t1,5,ari,0.47165041531238716
Random Convex MDT_t1,6,chs,3.735039240277657
Random Convex MDT_t1,6,ami,0.6683011349480567
Random Convex MDT_t1,6,ari,0.5722813519851747
Random Convex MDT_t1,7,chs,3.720384650247071
Random Convex MDT_t1,7,ami,0.6557261762094022
Random Convex MDT_t1,7,ari,0.5434349138924162
Random Convex MDT_t1,8,chs,3.746134817912986
Random Convex MDT_t1,8,ami,0.7998571223768332
Random Convex MDT_t1,8,ari,0.7639527634467866
Random Convex MDT_t1,9,chs,3.834796419688284
Random Convex MDT_t1,9,ami,0.7454025804598435
Random Convex MDT_t1,9,ari,0.6477145713972445
Random Convex MDT_t1,10,chs,3.5861800528426344
Random Convex MDT_t1,10,ami,0.6364482913003224
Random Convex MDT_t1,10,ari,0.4498288273921135
Random Convex MDT_t1,11,chs,3.533804235559642
Random Convex MDT_t1,11,ami,0.6163246466742143
Random Convex MDT_t1,11,ari,0.5315369687906141
Random Convex MDT_t1,12,chs,3.6631014017920536
Random Convex MDT_t1,12,ami,0.6439835576723918
Random Convex MDT_t1,12,ari,0.533567306474664
Random Convex MDT_t1,13,chs,3.6453056313230205
Random Convex MDT_t1,13,ami,0.6610566374501473
Random Convex MDT_t1,13,ari,0.5666177922329001
Random Convex MDT_t1,14,chs,3.6375566059516773
Random Convex MDT_t1,14,ami,0.5905756608782953
Random Convex MDT_t1,14,ari,0.46078885009604736
Random Convex MDT_t1,15,chs,3.7463309293773053
Random Convex MDT_t1,15,ami,0.6219397196629807
Random Convex MDT_t1,15,ari,0.47151063912210245
Random Convex MDT_t1,16,chs,3.759879510616628
Random Convex MDT_t1,16,ami,0.754157294366374
Random Convex MDT_t1,16,ari,0.6866968093945605
Random Convex MDT_t1,17,chs,3.7068348684590546
Random Convex MDT_t1,17,ami,0.6537319878982616
Random Convex MDT_t1,17,ari,0.5070667662098917
Random Convex MDT_t1,18,chs,3.7183889469489784
Random Convex MDT_t1,18,ami,0.5949630962405087
Random Convex MDT_t1,18,ari,0.421940187404046
Random Convex MDT_t1,19,chs,3.5222111444409885
Random Convex MDT_t1,19,ami,0.6603187286152135
Random Convex MDT_t1,19,ari,0.49392211614025117
Random Convex MDT_t1,20,chs,3.431332717097246
Random Convex MDT_t1,20,ami,0.5509269026413827
Random Convex MDT_t1,20,ari,0.39235533851020626
Random Convex MDT_t1,21,chs,3.522976151973542
Random Convex MDT_t1,21,ami,0.7020031723492612
Random Convex MDT_t1,21,ari,0.603532309536086
Random Convex MDT_t1,22,chs,3.747762192203717
Random Convex MDT_t1,22,ami,0.6722768110231331
Random Convex MDT_t1,22,ari,0.5953036590627664
Random Convex MDT_t1,23,chs,3.740840582800815
Random Convex MDT_t1,23,ami,0.7085455754689658
Random Convex MDT_t1,23,ari,0.6544120089004019
Random Convex MDT_t1,24,chs,3.6588085237356873
Random Convex MDT_t1,24,ami,0.5443088628070937
Random Convex MDT_t1,24,ari,0.39497065321135916
Random Convex MDT_t1,25,chs,3.7582627975625975
Random Convex MDT_t1,25,ami,0.7730742997979735
Random Convex MDT_t1,25,ari,0.6920633822009007
Random Convex MDT_t1,26,chs,3.7935503639126225
Random Convex MDT_t1,26,ami,0.7625823220830179
Random Convex MDT_t1,26,ari,0.7320267597197895
Random Convex MDT_t1,27,chs,3.5645292476562114
Random Convex MDT_t1,27,ami,0.6403254392635646
Random Convex MDT_t1,27,ari,0.5026342775162039
Random Convex MDT_t1,28,chs,3.5878304291631005
Random Convex MDT_t1,28,ami,0.6673392898358679
Random Convex MDT_t1,28,ari,0.5119473783287205
Random Convex MDT_t1,29,chs,3.70264955701074
Random Convex MDT_t1,29,ami,0.7024046854532977
Random Convex MDT_t1,29,ari,0.6518434038426136
Random Convex MDT_t1,30,chs,3.7370748268243745
Random Convex MDT_t1,30,ami,0.737204890568086
Random Convex MDT_t1,30,ari,0.6646692160219805
Random Convex MDT_t1,31,chs,3.7416004814572
Random Convex MDT_t1,31,ami,0.6000006989566382
Random Convex MDT_t1,31,ari,0.46373628100277325
Random Convex MDT_t1,32,chs,3.728771136711162
Random Convex MDT_t1,32,ami,0.7632178591064549
Random Convex MDT_t1,32,ari,0.6895728256359012
Random Convex MDT_t1,33,chs,3.722738932625043
Random Convex MDT_t1,33,ami,0.6256422977363825
Random Convex MDT_t1,33,ari,0.5272373491241358
Random Convex MDT_t1,34,chs,3.7547249851229987
Random Convex MDT_t1,34,ami,0.6882324069356541
Random Convex MDT_t1,34,ari,0.6166045960382154
Random Convex MDT_t1,35,chs,3.705619322840218
Random Convex MDT_t1,35,ami,0.6229815758002385
Random Convex MDT_t1,35,ari,0.5006264851310364
Random Convex MDT_t1,36,chs,3.714633087334838
Random Convex MDT_t1,36,ami,0.6754928593464423
Random Convex MDT_t1,36,ari,0.5727135449706263
Random Convex MDT_t1,37,chs,3.73715658651307
