method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.6030783063353948,0.6636853707550714,3.701934337466883,0.058155797772062076,0.12120035577175789
Random MDT,1,0.8761442967066464,0.49527438186119027,3.215072764062238,0.1320025617588197,0.2908273068275321
Random Convex MDT,2,0.5558144114816513,0.6994507321338433,3.7754015004758905,0.044826510511248516,0.08851545321155586
Random MDT,2,0.8999947199194992,0.5129931027558033,3.288775392662846,0.11442829486911005,0.3103544076612016
Random Convex MDT,3,0.5696630377816201,0.7115668322935096,3.7695454815903604,0.04395468521935818,0.08215152104147605
Random MDT,3,0.8940951174948668,0.5414736906833768,3.335966530926109,0.11863524447218902,0.35007224286281163
Random Convex MDT,4,0.3135714620576593,0.7193722145178737,3.7903929100245817,0.039186338066304074,0.07609887446633659
Random MDT,4,0.8712442153804772,0.6041937005435646,3.4727610707237386,0.09883583920672445,0.2943917735675709
Random Convex MDT,5,0.09157059617128133,0.7368988965948159,3.79073816737436,0.03561414236921677,0.0713891046578759
Random MDT,5,0.8881842747114087,0.5983864535498921,3.4270297372637515,0.10107550113582621,0.30547901369042985
Random Convex MDT,6,0.3317499024442117,0.7413749782253136,3.7700819406342276,0.0355333855335321,0.08383529497604925
Random MDT,6,0.8514213633714516,0.6237746076683822,3.504578141814718,0.09095598070912111,0.3005203175699145
Random Convex MDT,7,0.4502986673142575,0.7413052681212068,3.7480216915582822,0.03349618469830581,0.0814128910086393
Random MDT,7,0.8485018280446628,0.6279088111241456,3.4548470043514556,0.09582337446369589,0.28761385782878235
Random Convex MDT,8,0.2599147652434331,0.7495901338626234,3.7324563484284328,0.030339552908454737,0.07851903256472498
Random MDT,8,0.8612076685049463,0.6228846794952241,3.4375522080873036,0.10082493978107239,0.3108726466964783
Random Convex MDT,9,0.5766193882370856,0.7412534799923476,3.701142784076709,0.03773955921690784,0.10901349073275671
Random MDT,9,0.8746543766608013,0.6169909606768563,3.4217082047087035,0.09583168031772364,0.3175733536690273
Random Convex MDT,10,0.31015569323924375,0.7427241779822024,3.6992702880918285,0.02750874251119714,0.083108753207894
Random MDT,10,0.9198604224587222,0.6070617973920411,3.348175074222015,0.1166809228451845,0.3598522906213486
Random Convex MDT,11,0.5468393273896586,0.7305664697121937,3.661790934322617,0.03416284273441799,0.10849187911081377
Random MDT,11,0.9172931120439077,0.6076469813210746,3.3248803356774683,0.10958599856455456,0.3734515277962099
Random Convex MDT,12,0.7360955492416769,0.7104466339460958,3.6078682775487105,0.0421901101335278,0.11625562146017224
Random MDT,12,0.8941316652654624,0.593960961662356,3.3071561365961633,0.1020334275928656,0.3766282860164113
Random Convex MDT,13,0.6566106841275988,0.7072824361327374,3.6070237971249317,0.03770956970714851,0.11194128207361062
Random MDT,13,0.9038657942207363,0.6008674932636078,3.325660211834582,0.09770147946932242,0.34810982557770376
Random Convex MDT,14,0.7718263242164957,0.7066514146469247,3.5715550610438704,0.04217191415854482,0.1306851191930962
Random MDT,14,0.9521230616040508,0.5820527989298782,3.224022304804174,0.11374161863951743,0.3796813047182794
Random Convex MDT,15,0.7673154487840494,0.7007276247977949,3.573888142667229,0.04072927781936711,0.11249153859615539
Random MDT,15,0.8629881585318273,0.6079755748037636,3.3129046583352952,0.08921504636863731,0.3069078790092424
Random Convex MDT,16,0.7415527386969544,0.6845457980880074,3.522428252623933,0.03972993081323447,0.1180113498143017
Random MDT,16,0.9011183103230567,0.5996284139877743,3.284715828808087,0.09441466729511423,0.3246695327260392
Random Convex MDT,17,0.8428873200708046,0.6755222485342052,3.5067476819226147,0.04112165185270276,0.11775138680545344
Random MDT,17,0.9512377572846821,0.5649049257256861,3.1420295666958764,0.1077055441055802,0.36489423878910054
Random Convex MDT,18,0.7804431988133291,0.670401042888647,3.48518494686367,0.03624710263704204,0.11533185708636277
Random MDT,18,0.9207107896526241,0.5769662415143423,3.1940984084927395,0.09919358185189593,0.3478259687858967
Random Convex MDT,19,0.7950857596170513,0.653886371872233,3.4358780791140857,0.03820526802779914,0.12699214894757596
Random MDT,19,0.9261597723776296,0.5646272686306704,3.1664973043517666,0.09553125080698112,0.3329374025753783
Random Convex MDT,20,0.8652078246316999,0.6471020838845654,3.3980941716650683,0.04175169077350983,0.15627443481113804
Random MDT,20,0.9116712393846073,0.5746188766719307,3.197479711388745,0.08943219908896075,0.28990626016911475
Random Convex MDT,21,0.8766399495662188,0.6308862774061802,3.3428958364464587,0.04051712360709969,0.15423871412754436
Random MDT,21,0.9485833173894143,0.5382877301063557,3.0425064247756723,0.10742794152027026,0.37561709811784494
Random Convex MDT,22,0.889150034459448,0.6358964295997879,3.3446790456988946,0.035529609923734516,0.15515887615981455
Random MDT,22,0.9328377059373204,0.5461246674908662,3.078710054979821,0.09667776211281405,0.3307218436900473
Random Convex MDT,23,0.8292372820005451,0.6304809183170772,3.3354961802134238,0.032884162013983316,0.13128519895336666
Random MDT,23,0.9425875832984805,0.525177584927209,2.9998836856077045,0.10608449635832246,0.3722032095715905
Random Convex MDT,24,0.9040265368193287,0.6196153261632116,3.298680350482225,0.037337325669082086,0.1437260475347535
Random MDT,24,0.9568365042017015,0.5224446181372855,2.9847537468612306,0.10655649645470729,0.3769037274841546
Random Convex MDT,25,0.8687797218645921,0.6032712310963331,3.237339340452637,0.03714259260463416,0.1415523029938007
Random MDT,25,0.9615200032144317,0.514654543137758,2.9446793275179663,0.10446787378167537,0.3583496642827913
