method,repeat,metric,value
Random Convex MDT_t1,0,chs,5.478873145213028
Random Convex MDT_t1,0,ami,0.8625444172114097
Random Convex MDT_t1,0,ari,0.7826809448489946
Random Convex MDT_t1,1,chs,5.480385255766983
Random Convex MDT_t1,1,ami,0.8737884982450805
Random Convex MDT_t1,1,ari,0.8167779346376434
Random Convex MDT_t1,2,chs,5.486899442860383
Random Convex MDT_t1,2,ami,0.8829811001298741
Random Convex MDT_t1,2,ari,0.8061355891808742
Random Convex MDT_t1,3,chs,5.39410234183143
Random Convex MDT_t1,3,ami,0.8303364459131544
Random Convex MDT_t1,3,ari,0.7603909215051607
Random Convex MDT_t1,4,chs,5.272507372330145
Random Convex MDT_t1,4,ami,0.8039783416518868
Random Convex MDT_t1,4,ari,0.6945534018407413
Random Convex MDT_t1,5,chs,5.475343364436377
Random Convex MDT_t1,5,ami,0.8701184381457246
Random Convex MDT_t1,5,ari,0.8203984171786192
Random Convex MDT_t1,6,chs,5.342270762488915
Random Convex MDT_t1,6,ami,0.8129248052399742
Random Convex MDT_t1,6,ari,0.6945949986539502
Random Convex MDT_t1,7,chs,5.412645920150802
Random Convex MDT_t1,7,ami,0.8115793834479565
Random Convex MDT_t1,7,ari,0.6991780263376943
Random Convex MDT_t1,8,chs,5.430959091493544
Random Convex MDT_t1,8,ami,0.8513079594916342
Random Convex MDT_t1,8,ari,0.7662390961277059
Random Convex MDT_t1,9,chs,5.406837673284965
Random Convex MDT_t1,9,ami,0.8405280595696997
Random Convex MDT_t1,9,ari,0.7447805409047308
Random Convex MDT_t1,10,chs,5.309036266822033
Random Convex MDT_t1,10,ami,0.7734819414521722
Random Convex MDT_t1,10,ari,0.6705283776741798
Random Convex MDT_t1,11,chs,5.314134713603591
Random Convex MDT_t1,11,ami,0.8360366756209062
Random Convex MDT_t1,11,ari,0.7085243460208854
Random Convex MDT_t1,12,chs,5.478763559308106
Random Convex MDT_t1,12,ami,0.8635403663728545
Random Convex MDT_t1,12,ari,0.7675252670419467
Random Convex MDT_t1,13,chs,5.347607573276339
Random Convex MDT_t1,13,ami,0.7864669883396592
Random Convex MDT_t1,13,ari,0.6277707629187738
Random Convex MDT_t1,14,chs,5.382783474166675
Random Convex MDT_t1,14,ami,0.83818993735376
Random Convex MDT_t1,14,ari,0.7169637237521974
Random Convex MDT_t1,15,chs,5.399030470827985
Random Convex MDT_t1,15,ami,0.8122584286348328
Random Convex MDT_t1,15,ari,0.6830437080936166
Random Convex MDT_t1,16,chs,5.497708165934753
