method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.8605050672113805,0.8343486162358695,5.415972124926327,0.030148762252487277,0.06177980021058364
Random MDT,1,0.9002854457043082,0.7117417156020296,4.730421477980955,0.10238086490431392,0.2778909375910695
Random Convex MDT,2,0.7911598773154785,0.8426143426711729,5.4345142592169005,0.026464410964994172,0.05149581067011239
Random MDT,2,0.6521085937250082,0.763056592986993,5.0571865715556665,0.06195214396519343,0.23825641598023026
Random Convex MDT,3,0.8676825600806759,0.8483534684839417,5.450457588350371,0.026755987217911645,0.04059674620376937
Random MDT,3,0.7356768301861246,0.7800908917206675,5.172264171216488,0.049966032270977935,0.17506295086936585
Random Convex MDT,4,0.8383331934825952,0.8482053938551549,5.451156811417717,0.023802715997329874,0.03559900537005743
Random MDT,4,0.6911075124114491,0.7938905026509832,5.225491294033386,0.04514790741964306,0.1530999173205566
Random Convex MDT,5,0.8256978559081443,0.8533992857185208,5.456476433769242,0.020743890424790294,0.03105695117292751
Random MDT,5,0.7548314446713974,0.7991425116247403,5.258682521121895,0.04391139055405193,0.15783211893117893
Random Convex MDT,6,0.9152356318641041,0.8539122350828967,5.455633052559838,0.019823060074146866,0.0322549035069868
Random MDT,6,0.7305478265318985,0.7993046070553586,5.256471248109176,0.04188105573764867,0.14083227471432913
Random Convex MDT,7,0.8786707879372113,0.8546811850776495,5.453784066162025,0.017831381425041058,0.03099618367948135
Random MDT,7,0.8848119198206283,0.8038456924671189,5.274994611197628,0.04395367767214925,0.1363535450483759
Random Convex MDT,8,0.7836984858938159,0.8509591834455705,5.440126950212317,0.018730285975709395,0.043263950691129927
Random MDT,8,0.9361503636666586,0.8033180261697318,5.273335428424384,0.047569102870460074,0.1462248723113768
Random Convex MDT,9,0.68328053249996,0.8512686104354905,5.434189295519222,0.014310272986708193,0.05458389687497769
Random MDT,9,0.7906880074802177,0.8046802531324605,5.2629884076316715,0.03851082439958834,0.1485948877889768
Random Convex MDT,10,0.8792638862340841,0.8473824484958752,5.424927897383863,0.017463290207763757,0.037231870015793304
Random MDT,10,0.8865195662116305,0.8012005458484345,5.249752156127887,0.04467240425052316,0.1620597306068547
Random Convex MDT,11,0.6436998615049713,0.845721844415104,5.406722621607458,0.015693937562910806,0.06611742184063657
Random MDT,11,0.9009359845227438,0.8021343349751412,5.249607117157265,0.04202421252646116,0.14197908322611627
Random Convex MDT,12,0.5375156639330578,0.848947241003221,5.406794424892927,0.013806568050711716,0.055248328163498034
Random MDT,12,0.8759320290846615,0.8014449707996357,5.236066790289401,0.03977414337217816,0.1404089328804388
Random Convex MDT,13,0.515217551918374,0.8446836650284401,5.396502555848656,0.014681105914804968,0.040376897498002516
Random MDT,13,0.8535564387096508,0.7882147571225395,5.188608163735324,0.041603288956463834,0.14434454374142133
Random Convex MDT,14,0.4512113923609623,0.8439663699103828,5.386591165581617,0.013745616810313822,0.045600156823104955
Random MDT,14,0.8559490342511747,0.798765339705509,5.1842275160904645,0.04113879929633171,0.16468982884369032
Random Convex MDT,15,0.43677225972600164,0.8447356043039721,5.374597488384053,0.013358002533215996,0.054532209448502136
Random MDT,15,0.8067482142359264,0.7949243287780484,5.167702674888175,0.038992522039807,0.163362762280701
Random Convex MDT,16,0.5386579113311676,0.8403966305782831,5.35456120882694,0.017180172583173614,0.06077888065806173
Random MDT,16,0.8268809233350208,0.7922635651609267,5.164339183017046,0.03916347975082753,0.14863822173543986
