method,repeat,metric,value
Random Convex MDT_t1,0,chs,5.933078394985921
Random Convex MDT_t1,0,ami,0.7539217438048132
Random Convex MDT_t1,0,ari,0.5701265580198867
Random Convex MDT_t1,1,chs,6.012169857599613
Random Convex MDT_t1,1,ami,0.7408436474870016
Random Convex MDT_t1,1,ari,0.5181085472752353
Random Convex MDT_t1,2,chs,5.913430940026147
Random Convex MDT_t1,2,ami,0.7631662266332137
Random Convex MDT_t1,2,ari,0.5732135727080578
Random Convex MDT_t1,3,chs,5.997910070995802
Random Convex MDT_t1,3,ami,0.7478551605805529
Random Convex MDT_t1,3,ari,0.5293997606513603
Random Convex MDT_t1,4,chs,5.985685631975879
Random Convex MDT_t1,4,ami,0.7489884390858187
Random Convex MDT_t1,4,ari,0.5271354806396604
Random Convex MDT_t1,5,chs,5.929606196451681
Random Convex MDT_t1,5,ami,0.7589056627864463
Random Convex MDT_t1,5,ari,0.5787074786477336
Random Convex MDT_t1,6,chs,5.9030134802837
Random Convex MDT_t1,6,ami,0.7513870122795883
Random Convex MDT_t1,6,ari,0.5639517079128552
Random Convex MDT_t1,7,chs,5.976063071745451
Random Convex MDT_t1,7,ami,0.7590714339261168
Random Convex MDT_t1,7,ari,0.5710473018424047
Random Convex MDT_t1,8,chs,6.0417171200346935
Random Convex MDT_t1,8,ami,0.7501194722198394
Random Convex MDT_t1,8,ari,0.49194931151343024
Random Convex MDT_t1,9,chs,5.936266073837497
Random Convex MDT_t1,9,ami,0.7292053489414737
Random Convex MDT_t1,9,ari,0.4856142368097839
Random Convex MDT_t1,10,chs,5.983586316948177
Random Convex MDT_t1,10,ami,0.7651705742356907
Random Convex MDT_t1,10,ari,0.5828149806822249
Random Convex MDT_t1,11,chs,6.0329829669891835
Random Convex MDT_t1,11,ami,0.7529835149961603
Random Convex MDT_t1,11,ari,0.553170387870652
Random Convex MDT_t1,12,chs,6.065494077577656
Random Convex MDT_t1,12,ami,0.7738232513833205
Random Convex MDT_t1,12,ari,0.54128447955006
Random Convex MDT_t1,13,chs,5.7293840885502405
Random Convex MDT_t1,13,ami,0.7094530239796473
Random Convex MDT_t1,13,ari,0.4803466376893546
Random Convex MDT_t1,14,chs,5.956658643795738
Random Convex MDT_t1,14,ami,0.7391455151665138
Random Convex MDT_t1,14,ari,0.5246756307997351
Random Convex MDT_t1,15,chs,5.985201837025869
Random Convex MDT_t1,15,ami,0.7345733434860557
Random Convex MDT_t1,15,ari,0.5066434922032607
Random Convex MDT_t1,16,chs,5.912422912377796
Random Convex MDT_t1,16,ami,0.7499012921076949
Random Convex MDT_t1,16,ari,0.5588653843669191
Random Convex MDT_t1,17,chs,5.857256598034709
Random Convex MDT_t1,17,ami,0.7195302591186123
Random Convex MDT_t1,17,ari,0.5189598901392877
Random Convex MDT_t1,18,chs,6.048140390289124
Random Convex MDT_t1,18,ami,0.7592711937426646
Random Convex MDT_t1,18,ari,0.5151686554512781
Random Convex MDT_t1,19,chs,6.061507184532346
Random Convex MDT_t1,19,ami,0.7554630721054701
Random Convex MDT_t1,19,ari,0.5142433361007288
Random Convex MDT_t1,20,chs,5.972661051410599
Random Convex MDT_t1,20,ami,0.7518265688655171
Random Convex MDT_t1,20,ari,0.5097350818618847
Random Convex MDT_t1,21,chs,6.005646981083004
Random Convex MDT_t1,21,ami,0.7781366607389215
Random Convex MDT_t1,21,ari,0.6002228056141102
Random Convex MDT_t1,22,chs,5.913667280987966
Random Convex MDT_t1,22,ami,0.7421115179218496
Random Convex MDT_t1,22,ari,0.5543056647364711
Random Convex MDT_t1,23,chs,5.72167842612971
Random Convex MDT_t1,23,ami,0.7285056664503464
Random Convex MDT_t1,23,ari,0.5268173842116842
Random Convex MDT_t1,24,chs,5.904380295143707
Random Convex MDT_t1,24,ami,0.7620147721121673
Random Convex MDT_t1,24,ari,0.5183755376925969
Random Convex MDT_t1,25,chs,5.744970181958527
Random Convex MDT_t1,25,ami,0.7298328368352789
Random Convex MDT_t1,25,ari,0.5390315562585571
Random Convex MDT_t1,26,chs,6.052608206907228
Random Convex MDT_t1,26,ami,0.7468013593036887
Random Convex MDT_t1,26,ari,0.5130058281457764
Random Convex MDT_t1,27,chs,5.770582471367601
Random Convex MDT_t1,27,ami,0.7619269596771362
Random Convex MDT_t1,27,ari,0.5845455618662854
Random Convex MDT_t1,28,chs,5.988536007304176
Random Convex MDT_t1,28,ami,0.7400386713790237
Random Convex MDT_t1,28,ari,0.5211350691619202
Random Convex MDT_t1,29,chs,5.9646279595714855
Random Convex MDT_t1,29,ami,0.7395231367543538
Random Convex MDT_t1,29,ari,0.512929232706204
Random Convex MDT_t1,30,chs,6.0123330699924
Random Convex MDT_t1,30,ami,0.7341703994998324
Random Convex MDT_t1,30,ari,0.4670929069108919
Random Convex MDT_t1,31,chs,5.99596042427906
Random Convex MDT_t1,31,ami,0.7493532162483271
Random Convex MDT_t1,31,ari,0.5230722312149576
Random Convex MDT_t1,32,chs,6.051803846637195
Random Convex MDT_t1,32,ami,0.776282837376508
Random Convex MDT_t1,32,ari,0.5584803779770514
Random Convex MDT_t1,33,chs,5.994787089362382
Random Convex MDT_t1,33,ami,0.7428867304511044
Random Convex MDT_t1,33,ari,0.5059583498519158
Random Convex MDT_t1,34,chs,6.00131636466001
Random Convex MDT_t1,34,ami,0.7559460059227316
Random Convex MDT_t1,34,ari,0.5541033676126583
Random Convex MDT_t1,35,chs,5.965831503868758
Random Convex MDT_t1,35,ami,0.7466143493678405
Random Convex MDT_t1,35,ari,0.5207227280723064
Random Convex MDT_t1,36,chs,5.920393623096634
Random Convex MDT_t1,36,ami,0.755865839735685
Random Convex MDT_t1,36,ari,0.5514853884983824
Random Convex MDT_t1,37,chs,5.7691907856096245
Random Convex MDT_t1,37,ami,0.7598486591670053
Random Convex MDT_t1,37,ari,0.5946688194304961
Random Convex MDT_t1,38,chs,5.980840630186025
Random Convex MDT_t1,38,ami,0.7520705556066579
Random Convex MDT_t1,38,ari,0.5579681780290674
Random Convex MDT_t1,39,chs,6.0193422688785905
Random Convex MDT_t1,39,ami,0.7414837697054361
Random Convex MDT_t1,39,ari,0.4714392760389648
Random Convex MDT_t1,40,chs,6.029288116185018
Random Convex MDT_t1,40,ami,0.7308978161093242
Random Convex MDT_t1,40,ari,0.49336443625946386
Random Convex MDT_t1,41,chs,5.994592875193961
Random Convex MDT_t1,41,ami,0.7370649197687916
Random Convex MDT_t1,41,ari,0.502683702174153
Random Convex MDT_t1,42,chs,6.0322960686198215
Random Convex MDT_t1,42,ami,0.7544595102385334
Random Convex MDT_t1,42,ari,0.5024513098186799
Random Convex MDT_t1,43,chs,5.952793407792919
Random Convex MDT_t1,43,ami,0.7465500390271196
Random Convex MDT_t1,43,ari,0.5332625149382552
Random Convex MDT_t1,44,chs,6.0574304837650415
Random Convex MDT_t1,44,ami,0.7388956150250615
Random Convex MDT_t1,44,ari,0.4873670631174879
Random Convex MDT_t1,45,chs,5.980440142021401
Random Convex MDT_t1,45,ami,0.7453240001917575
Random Convex MDT_t1,45,ari,0.5395838790290038
Random Convex MDT_t1,46,chs,5.984370412823525
Random Convex MDT_t1,46,ami,0.7427109579925287
Random Convex MDT_t1,46,ari,0.5197799336786428
Random Convex MDT_t1,47,chs,5.969157347379607
Random Convex MDT_t1,47,ami,0.7527617124991319
Random Convex MDT_t1,47,ari,0.5508149339321735
Random Convex MDT_t1,48,chs,5.9701710409145825
Random Convex MDT_t1,48,ami,0.7599020960234684
Random Convex MDT_t1,48,ari,0.5392438749141624
