method,repeat,metric,value
Random Convex MDT_t1,0,chs,5.111796253241777
Random Convex MDT_t1,0,ami,0.5814761875751434
Random Convex MDT_t1,0,ari,0.4069276336207478
Random Convex MDT_t1,1,chs,5.120892800508414
Random Convex MDT_t1,1,ami,0.571297223870437
Random Convex MDT_t1,1,ari,0.33127083403012364
Random Convex MDT_t1,2,chs,5.153020700771988
Random Convex MDT_t1,2,ami,0.5808237494009126
Random Convex MDT_t1,2,ari,0.4110522436833396
Random Convex MDT_t1,3,chs,5.128091744179979
Random Convex MDT_t1,3,ami,0.5964374346804846
Random Convex MDT_t1,3,ari,0.42649864788809727
Random Convex MDT_t1,4,chs,5.131981664611465
Random Convex MDT_t1,4,ami,0.5752335135921319
Random Convex MDT_t1,4,ari,0.38467229466397157
Random Convex MDT_t1,5,chs,5.182120944544178
Random Convex MDT_t1,5,ami,0.5829404501837729
Random Convex MDT_t1,5,ari,0.38226812505557883
Random Convex MDT_t1,6,chs,5.0512773684759855
Random Convex MDT_t1,6,ami,0.5520292903759043
Random Convex MDT_t1,6,ari,0.35355076610083286
Random Convex MDT_t1,7,chs,5.111130172820347
Random Convex MDT_t1,7,ami,0.5725015527854591
Random Convex MDT_t1,7,ari,0.35696896294393266
Random Convex MDT_t1,8,chs,4.965759252868305
Random Convex MDT_t1,8,ami,0.5562567746697544
Random Convex MDT_t1,8,ari,0.31907680717734477
Random Convex MDT_t1,9,chs,5.030783363780475
Random Convex MDT_t1,9,ami,0.5535036465706693
Random Convex MDT_t1,9,ari,0.4117918741430324
Random Convex MDT_t1,10,chs,5.147668885550573
Random Convex MDT_t1,10,ami,0.5883449628988376
Random Convex MDT_t1,10,ari,0.40303643992640537
Random Convex MDT_t1,11,chs,5.14032583158654
Random Convex MDT_t1,11,ami,0.5777408354452225
Random Convex MDT_t1,11,ari,0.348957427819697
Random Convex MDT_t1,12,chs,5.201786393212225
Random Convex MDT_t1,12,ami,0.5884418327092932
Random Convex MDT_t1,12,ari,0.41594956003602856
Random Convex MDT_t1,13,chs,5.151527738185894
Random Convex MDT_t1,13,ami,0.5907893972680551
Random Convex MDT_t1,13,ari,0.4248045398958462
Random Convex MDT_t1,14,chs,5.130346685166788
Random Convex MDT_t1,14,ami,0.5731017439401346
Random Convex MDT_t1,14,ari,0.3884342607746863
Random Convex MDT_t1,15,chs,4.954865484486682
Random Convex MDT_t1,15,ami,0.5267728526100719
Random Convex MDT_t1,15,ari,0.39006248140434396
Random Convex MDT_t1,16,chs,5.168694120738739
Random Convex MDT_t1,16,ami,0.5789571807459618
Random Convex MDT_t1,16,ari,0.4088323130768503
Random Convex MDT_t1,17,chs,5.1410581237795006
Random Convex MDT_t1,17,ami,0.5706966133864582
Random Convex MDT_t1,17,ari,0.35518022152867024
Random Convex MDT_t1,18,chs,5.145112166361865
Random Convex MDT_t1,18,ami,0.5829404501837728
Random Convex MDT_t1,18,ari,0.38226812505557883
Random Convex MDT_t1,19,chs,5.070575429176038
Random Convex MDT_t1,19,ami,0.5487055194401435
Random Convex MDT_t1,19,ari,0.3945962928055294
Random Convex MDT_t1,20,chs,5.0717029551515544
Random Convex MDT_t1,20,ami,0.5444818137717373
Random Convex MDT_t1,20,ari,0.38574941841143234
Random Convex MDT_t1,21,chs,5.196322872438105
Random Convex MDT_t1,21,ami,0.5841439854014212
Random Convex MDT_t1,21,ari,0.40758782974858604
Random Convex MDT_t1,22,chs,5.059767652515567
Random Convex MDT_t1,22,ami,0.5734689764262386
Random Convex MDT_t1,22,ari,0.3630902024251787
Random Convex MDT_t1,23,chs,5.158465891383048
Random Convex MDT_t1,23,ami,0.5957207839842409
Random Convex MDT_t1,23,ari,0.4077248634864688
Random Convex MDT_t1,24,chs,5.057651646082983
Random Convex MDT_t1,24,ami,0.5500742544814883
Random Convex MDT_t1,24,ari,0.36378298929514447
Random Convex MDT_t1,25,chs,5.1384433772322256
Random Convex MDT_t1,25,ami,0.5526398065217919
Random Convex MDT_t1,25,ari,0.3975129680949336
Random Convex MDT_t1,26,chs,5.016869078954369
Random Convex MDT_t1,26,ami,0.5382326621053949
Random Convex MDT_t1,26,ari,0.3844718334377829
Random Convex MDT_t1,27,chs,5.065348392975776
Random Convex MDT_t1,27,ami,0.565849755914813
Random Convex MDT_t1,27,ari,0.343467387310505
Random Convex MDT_t1,28,chs,5.144395843919665
Random Convex MDT_t1,28,ami,0.5785750101606225
Random Convex MDT_t1,28,ari,0.40092835519677095
Random Convex MDT_t1,29,chs,5.176579300881349
Random Convex MDT_t1,29,ami,0.5813803332372155
Random Convex MDT_t1,29,ari,0.4008708429382187
Random Convex MDT_t1,30,chs,5.01507176640123
Random Convex MDT_t1,30,ami,0.5876800657997789
Random Convex MDT_t1,30,ari,0.4401168033666853
Random Convex MDT_t1,31,chs,5.148762615355099
Random Convex MDT_t1,31,ami,0.5862392744456311
Random Convex MDT_t1,31,ari,0.4090570433887376
Random Convex MDT_t1,32,chs,5.201786393212225
Random Convex MDT_t1,32,ami,0.5884418327092932
Random Convex MDT_t1,32,ari,0.41594956003602856
Random Convex MDT_t1,33,chs,5.093913867797647
Random Convex MDT_t1,33,ami,0.625051383705245
Random Convex MDT_t1,33,ari,0.33003388920578464
Random Convex MDT_t1,34,chs,5.123100915074251
Random Convex MDT_t1,34,ami,0.5583878961096629
Random Convex MDT_t1,34,ari,0.33301248915665516
Random Convex MDT_t1,35,chs,5.127590283135253
Random Convex MDT_t1,35,ami,0.5726668826706126
Random Convex MDT_t1,35,ari,0.35549942870888207
Random Convex MDT_t1,36,chs,5.155265266564849
Random Convex MDT_t1,36,ami,0.5833854839180516
Random Convex MDT_t1,36,ari,0.41228249465178707
Random Convex MDT_t1,37,chs,5.067322060478558
Random Convex MDT_t1,37,ami,0.5479260495628535
Random Convex MDT_t1,37,ari,0.39623578076525334
Random Convex MDT_t1,38,chs,5.191915793757588
Random Convex MDT_t1,38,ami,0.5878706859767663
Random Convex MDT_t1,38,ari,0.38819982444758233
Random Convex MDT_t1,39,chs,5.047778302303057
Random Convex MDT_t1,39,ami,0.5392848066546677
Random Convex MDT_t1,39,ari,0.4009826315562643
Random Convex MDT_t1,40,chs,5.136053318282863
Random Convex MDT_t1,40,ami,0.592543051864395
Random Convex MDT_t1,40,ari,0.4281562443508128
Random Convex MDT_t1,41,chs,5.130346685166788
Random Convex MDT_t1,41,ami,0.5731017439401346
Random Convex MDT_t1,41,ari,0.3884342607746863
Random Convex MDT_t1,42,chs,4.788347796150474
Random Convex MDT_t1,42,ami,0.5373783955359431
Random Convex MDT_t1,42,ari,0.356453829653321
Random Convex MDT_t1,43,chs,5.126725413711559
Random Convex MDT_t1,43,ami,0.5899465634302304
Random Convex MDT_t1,43,ari,0.4041218282174483
Random Convex MDT_t1,44,chs,5.171973770345915
Random Convex MDT_t1,44,ami,0.5783273187686312
Random Convex MDT_t1,44,ari,0.4001450969328121
Random Convex MDT_t1,45,chs,5.148974759279303
Random Convex MDT_t1,45,ami,0.5855987632886209
Random Convex MDT_t1,45,ari,0.4079020589872009
Random Convex MDT_t1,46,chs,5.050995975893995
Random Convex MDT_t1,46,ami,0.5048987655518549
Random Convex MDT_t1,46,ari,0.33423832240882234
Random Convex MDT_t1,47,chs,4.8992462778098895
Random Convex MDT_t1,47,ami,0.530422148776573
Random Convex MDT_t1,47,ari,0.37292475314947227
Random Convex MDT_t1,48,chs,5.1480393913784175
Random Convex MDT_t1,48,ami,0.5946657269541813
Random Convex MDT_t1,48,ari,0.43535255189151817
Random Convex MDT_t1,49,chs,5.176579300881349
Random Convex MDT_t1,49,ami,0.5813803332372155
Random Convex MDT_t1,49,ari,0.4008708429382187
Random Convex MDT_t1,50,chs,5.142454534822778
Random Convex MDT_t1,50,ami,0.5773723935435966
Random Convex MDT_t1,50,ari,0.367335791342346
Random Convex MDT_t1,51,chs,5.155705354654415
Random Convex MDT_t1,51,ami,0.5985133789420366
Random Convex MDT_t1,51,ari,0.4429363627338354
Random Convex MDT_t1,52,chs,5.12535252608857
Random Convex MDT_t1,52,ami,0.5870101760909924
Random Convex MDT_t1,52,ari,0.42184115271197575
Random Convex MDT_t1,53,chs,5.078949210373006
Random Convex MDT_t1,53,ami,0.5897651335750381
Random Convex MDT_t1,53,ari,0.4344708314000084
Random Convex MDT_t1,54,chs,5.153321867983672
Random Convex MDT_t1,54,ami,0.5792659493644947
