method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.7079047195915511,0.5705800663477434,5.094887835087701,0.02390445895128088,0.0931772571005894
Random MDT,1,0.7049793027645029,0.5283526484994707,4.829335493937973,0.052074694795835715,0.08085914746064067
Random Convex MDT,2,0.6714669121070724,0.5763162598058683,5.134740489022453,0.01824503237815312,0.05821912487359492
Random MDT,2,0.6687633298522943,0.5490447493991687,4.964935883600236,0.04204952765380871,0.12422090943444887
Random Convex MDT,3,0.5573349808451737,0.578795151259528,5.1468617576356985,0.014759732702625305,0.04004476347293147
Random MDT,3,0.5377780019654068,0.5589491044590856,5.041942881846982,0.027304279994103717,0.09541497094817707
Random Convex MDT,4,0.614705497763035,0.5810099225254954,5.148500101086427,0.01221316975647749,0.04680215882680546
Random MDT,4,0.47637385411665195,0.5640899397918383,5.065593683912413,0.023655523732629642,0.08419334738959382
Random Convex MDT,5,0.44834990371260147,0.582183455317493,5.148935807827651,0.009876953410148034,0.043249810811072695
Random MDT,5,0.6528131797395068,0.5710569135817668,5.0821787363059086,0.024141116108452633,0.08336682413027963
Random Convex MDT,6,0.5994379466384809,0.5819811419847963,5.15117805892684,0.012037212553804359,0.05108143632040103
Random MDT,6,0.5599044219281335,0.5675258323873461,5.062715531333114,0.025317280658922928,0.09388855072399238
Random Convex MDT,7,0.48251650992771034,0.582476937699387,5.152029922271496,0.011781779435589576,0.05387294884574367
Random MDT,7,0.49870852017618206,0.5650755358655135,5.0743357351152945,0.022843685583666194,0.08067846626581855
Random Convex MDT,8,0.6018983305545851,0.5826177189272814,5.152290901108882,0.011060727938996135,0.038098188743023405
Random MDT,8,0.4822480848675725,0.5707924317203595,5.0848034791167285,0.024664947090574093,0.06411359732767344
Random Convex MDT,9,0.5604623843078731,0.5824573586313867,5.1425770470480465,0.013340787841645978,0.05793478396562562
Random MDT,9,0.6206108727210006,0.5700244047564889,5.069168534986656,0.021922576393369655,0.11052518413094357
Random Convex MDT,10,0.4063728989430843,0.5838861948197962,5.156083620050435,0.011067024962565668,0.037270093308860004
Random MDT,10,0.47410474345263703,0.5692706937755175,5.072010524369638,0.020829155103883737,0.08363092044423619
Random Convex MDT,11,0.42828172435116424,0.5832950756898307,5.137635456073179,0.012798243316717748,0.07173600787587331
Random MDT,11,0.3143433870035425,0.5710610959526866,5.073307730036981,0.01906483171301223,0.0769355471873166
Random Convex MDT,12,0.44023079771400736,0.5831275676873707,5.136713750733178,0.010474420626259345,0.05169774542596937
Random MDT,12,0.48333101556945834,0.5686019144645741,5.074421035745773,0.022209787818085365,0.08844614327275528
Random Convex MDT,13,0.5653441628289824,0.583050523690086,5.1254606275886765,0.012239739616034313,0.07241453690178501
Random MDT,13,0.4739540633143713,0.5676298728786983,5.0646081011360256,0.02112679474950036,0.09442450418194666
Random Convex MDT,14,0.4629463340888578,0.5817137349749499,5.129289874406364,0.012664211069048805,0.06350040301979375
Random MDT,14,0.48855239423680336,0.5670562950340802,5.0486678226965775,0.021761158935821485,0.11468064550791728
Random Convex MDT,15,0.5752449617240387,0.58129708227458,5.111213645620362,0.011989742385166228,0.0824049811549846
Random MDT,15,0.6284495917473721,0.5719345834687105,5.056150845932316,0.019343854108348688,0.10102943726579745
Random Convex MDT,16,0.7203511334447075,0.5812150409593488,5.112241194585096,0.012327422521963819,0.08283369728481271
Random MDT,16,0.5464111316650057,0.5697860350531061,5.045259911837608,0.021111864713103747,0.09921279070300934
Random Convex MDT,17,0.5268208962606641,0.581673821992266,5.106423299989047,0.011179050792307849,0.08153629966534548
Random MDT,17,0.3074700350049402,0.5653446725450685,5.037321691873267,0.022213831943855282,0.09849505386282198
Random Convex MDT,18,0.4851010355971898,0.5776455019797965,5.09431445774737,0.013599928543819839,0.09290309678060847
Random MDT,18,0.46659755295871214,0.5668634219788212,5.039255054237488,0.021018385541471257,0.10021349850130667
Random Convex MDT,19,0.5557607782287488,0.5794503127452066,5.091011661954942,0.012193577505432394,0.085521824212915
Random MDT,19,0.4377280116260147,0.5669989350889973,5.017463549068397,0.022497903950347568,0.12147410031332406
Random Convex MDT,20,0.6220239015247266,0.5778149068538495,5.071019932569269,0.013124691794102254,0.10485207825504174
Random MDT,20,0.42040029690515124,0.5677262120745317,5.018392684507334,0.023363822957901376,0.11303132405988452
Random Convex MDT,21,0.6639315290280843,0.5745238762958412,5.073578866469563,0.015155480340923736,0.09712602603587926
Random MDT,21,0.44329575285439876,0.5627916771855088,5.004436540862296,0.02406047283526625,0.12100781825663
Random Convex MDT,22,0.5495990107509515,0.5771587856976618,5.070526846016412,0.013944959312919837,0.10323049499069782
Random MDT,22,0.5578985896618035,0.5638515191955312,5.016049767467332,0.020261625916487003,0.11209695730057655
Random Convex MDT,23,0.5704558664788876,0.5748209042113598,5.062983059314472,0.013191505486137838,0.1056186165786153
Random MDT,23,0.4738133127465357,0.560598644719005,5.001545815576102,0.02215071889567276,0.11246153523283645
Random Convex MDT,24,0.7213352446059854,0.5742363660006419,5.048674217820393,0.01727611244857329,0.11715875719138562
Random MDT,24,0.45923538694031885,0.5592666279769031,4.9857469361170486,0.02406542245299168,0.11957513446979533
Random Convex MDT,25,0.6706258593948813,0.5769590675850694,5.068469947864236,0.012514737015375128,0.09810627087421038
Random MDT,25,0.40274252811214195,0.5638805156597838,5.005262200574552,0.0196998763244704,0.11906853638294458
Random Convex MDT,30,0.6121844935911154,0.5741697032472766,5.059561603014688,0.01337932039511269,0.11452121845074674
Random MDT,30,0.3278700678220754,0.5531572463113409,4.96749840587731,0.021201643020789147,0.12096064280420893
Random Convex MDT,35,0.7628847966634821,0.5708591905411543,5.021460788195742,0.014850705850841242,0.1438526354169451
Random MDT,35,0.49712416485767935,0.5540553259538006,4.92117241930465,0.02175570524775135,0.16940101140162203
Random Convex MDT,40,0.6412031987238411,0.5660468682255183,4.974741827983494,0.015748150464716962,0.13714890988155315
Random MDT,40,0.5571362864042753,0.5522473223847123,4.873074996678973,0.020964087747268906,0.17448250028954734
Random Convex MDT,45,0.6600515195500141,0.5611645624189354,4.925071156201254,0.014441204143091848,0.15643968345017517
Random MDT,45,0.31666174298791916,0.5464668752512035,4.794100501556423,0.018226226989926746,0.17381508929476422
Random Convex MDT,50,0.7136683578172933,0.5508575292266107,4.81989203657747,0.018656522302762303,0.18851630414678608
Random MDT,50,0.4258965605733083,0.5400997923441703,4.701715521885877,0.019223469642055832,0.18099515353854637
