t,singular_entropy
1,132.88438845297412
2,119.37423344244837
3,105.03554428509665
4,91.37235856704095
5,78.80968503698662
6,67.51858354343022
7,57.58323297951684
8,49.0132317015115
9,41.744739292255005
10,35.65816734457098
11,30.604306598533388
12,26.42758728971457
13,22.981507192123956
14,20.13645968033275
15,17.78220689323487
16,15.827274440540808
17,14.196901423635381
18,12.830524773662306
19,11.679307797006176
20,10.703937736616412
21,9.87276221536678
22,9.160258715765126
23,8.545799454457258
24,8.01266472245005
25,7.547259010999334
26,7.138489734697362
27,6.7772749889919774
28,6.456153129764835
29,6.168972493291676
30,5.910644157952184
31,5.676944340291755
32,5.464355941107708
33,5.269941048834926
34,5.091237993843978
35,4.926177935823799
36,4.773017044859873
37,4.630281174829677
38,4.496720579883717
39,4.371272733380355
40,4.253031706337026
41,4.141222874357901
42,4.03518196738814
43,3.934337670355262
44,3.8381971361957494
45,3.746333894724812
46,3.6583777380829208
47,3.5740062413486156
48,3.492937639432905
49,3.4149248317525696
50,3.3397503269115356
