t,singular_entropy
1,134.86580599767012
2,84.47508987555788
3,62.236866425531225
4,49.52743891578641
5,41.2101675195429
6,35.372352672291996
7,31.08152000586394
8,27.81282931895602
9,25.248008222916848
10,23.18441324762061
11,21.488094676004415
12,20.067693702785085
13,18.85918868272661
14,17.816630322512538
15,16.906329389775454
16,16.103106624393618
17,15.387812593317141
18,14.745650830191234
19,14.165021304057884
20,13.636708184413758
21,13.153299849990319
22,12.708768331238069
23,12.298159985779874
24,11.917364949834035
25,11.562943164398355
26,11.231991567083071
27,10.922041607692456
28,10.630979360598815
29,10.356982659823903
30,10.098471189449793
31,9.85406652907127
32,9.622559918318725
33,9.402886057850756
34,9.194101668971074
35,8.995367832970325
36,8.805935354140086
37,8.625132557983875
38,8.452355063222658
39,8.28705716330766
40,8.128744527936124
41,7.976967993055089
42,7.83131825311492
43,7.69142130490634
44,7.5569345204381655
45,7.427543248672134
46,7.302957863809254
47,7.182911192191904
48,7.067156261494196
49,6.955464325296695
50,6.847623123826688
