t,singular_entropy
1,87.62074111531571
2,55.023589966230034
3,44.8264099604965
4,40.273764982066076
5,37.40260902482368
6,35.2492819244129
7,33.51113427219093
8,32.05609234429394
9,30.809935431016033
10,29.72465825716427
11,28.766847071541562
12,27.912203417547534
13,27.142505209424925
14,26.443753939484004
15,25.804979218591864
16,25.217436715096305
17,24.67405363865003
18,24.169035838389103
19,23.697583550361387
20,23.25568196425478
21,22.839944357765663
22,22.44749280215009
23,22.075866127772166
24,21.722947942120086
25,21.386909592215932
26,21.066164407684578
27,20.7593305679239
28,20.46520064691259
29,20.18271639449854
30,19.910947675568657
31,19.649074750689852
32,19.39637327292105
33,19.152201515967658
34,18.915989453036694
35,18.687229383796026
36,18.46546786593616
37,18.25029875310373
38,18.04135717608263
39,17.83831433167314
40,17.640872965653934
41,17.448763453881863
42,17.261740399988444
43,17.079579680006177
44,16.90207587414454
45,16.729040034240764
46,16.560297742441715
47,16.395687422662697
48,16.235058871500645
49,16.078271979692317
50,15.925195619018588
