t,singular_entropy
1,78.92145997779272
2,54.63125252846712
3,47.44551644425408
4,43.46561987535516
5,40.59856711860344
6,38.35290089596812
7,36.52111116198466
8,34.985508176231775
9,33.6713158594759
10,32.528095545849155
11,31.520352045922408
12,30.62225268766232
13,29.814469122196055
14,29.082199232108625
15,28.413880239100735
16,27.80032410551038
17,27.234120338379864
18,26.709213431489115
19,26.220597482209293
20,25.76409131967404
21,25.336170132579824
22,24.93383750096356
23,24.554526815575272
24,24.196024402080752
25,23.85640890036932
26,23.534002973017486
27,23.22733447445207
28,22.935104957676224
29,22.656163928229805
30,22.389487640961136
31,22.13416151809463
32,21.88936547681835
33,21.654361611742296
34,21.428483796439725
35,21.211128859022033
36,21.001749056557845
37,20.799845627364903
38,20.60496324260028
39,20.416685211962267
40,20.2346293247868
41,20.05844422894012
42,19.887806266859734
43,19.722416701777078
44,19.56199927825981
45,19.40629807026836
46,19.25507557734691
47,19.108111035682555
48,18.96519891582445
49,18.82614758305677
50,18.690778099923552
