t,singular_entropy
1,116.48814973048063
2,80.88628881113533
3,54.6749563059668
4,38.7181128299225
5,29.271978574477128
6,23.378681217730097
7,19.54114781503468
8,16.86161268278869
9,14.90805822102866
10,13.414324576706623
11,12.238981814412842
12,11.288957110310946
13,10.507760250034469
14,9.855482924156986
15,9.304846237308846
16,8.835432159553957
17,8.43208425351277
18,8.08298946113361
19,7.778924272986019
20,7.5124990421324185
21,7.277763276647058
22,7.06985534764633
23,6.884780700079698
24,6.719227232560419
25,6.57043416538149
26,6.43608559805122
27,6.314229807397547
28,6.203214021269355
29,6.1016330602062325
30,6.008287611674249
31,5.922150591452106
32,5.842339575480715
33,5.768094211660833
34,5.6987575333842315
35,5.6337604615926375
36,5.5726088693768085
37,5.514872749672183
38,5.460177101644944
39,5.408194237764507
40,5.358637266059467
41,5.3112545513403475
42,5.26582499394808
43,5.222153994562645
44,5.180069996421366
45,5.139421515329834
46,5.100074582925104
47,5.061910541111768
48,5.02482413568856
49,4.988721865534355
50,4.953520550586968
