t,singular_entropy
1,115.03256074128234
2,75.93054595678117
3,48.70259119724669
4,33.312083886031225
5,24.757883011699462
6,19.653794857478392
7,16.411236855690216
8,14.18446750326339
9,12.574135063244466
10,11.354038004182195
11,10.401381244825863
12,9.638833823089415
13,9.017620059857025
14,8.50396059222772
15,8.074116607398437
16,7.710554903876045
17,7.400138283820039
18,7.132765016058578
19,6.900576348927283
20,6.697366694941293
21,6.518190188318411
22,6.359066009815642
23,6.2167660575391075
24,6.088653587176443
25,5.972561696919332
26,5.866699414047761
27,5.7695789807388556
28,5.679958735793746
29,5.5967980122247205
30,5.519221185873814
31,5.446488850997085
32,5.377974547454272
33,5.313145866980683
34,5.251549027832011
35,5.192796219477666
36,5.136555170806708
37,5.082540514463642
38,5.03050660926994
39,4.980241552462407
40,4.931562167227426
41,4.884309793219265
42,4.838346740845983
43,4.793553296332477
44,4.7498251854100895
45,4.707071420160044
46,4.665212466937534
47,4.624178684130375
48,4.583908987288863
49,4.544349706323501
50,4.505453605325464
