t,singular_entropy
1,102.55453368300198
2,61.63146808580911
3,40.47610913940397
4,29.335633930133177
5,22.93270943434339
6,18.873882624956458
7,16.052962864107357
8,13.931721625513076
9,12.237150371390019
10,10.825300297208592
11,9.61699094852062
12,8.566208071639931
13,7.644182204355074
14,6.83127044827937
15,6.11281552475135
16,5.477049729293885
17,4.9140437161992505
18,4.415178522023623
19,3.9728713107222706
20,3.580419039909016
21,3.231894375892639
22,2.9220639688624424
23,2.646316689008764
24,2.400597446498355
25,2.181345545294613
26,1.985437655613511
27,1.8101356916269646
28,1.6530397493075735
29,1.5120460571870775
30,1.3853097204898603
31,1.2712119232223302
32,1.1683311903073743
33,1.0754182903754468
34,0.9913743662361657
35,0.915231903513887
36,0.8461381804817525
37,0.7833408783744797
38,0.7261755679806972
39,0.6740548230997181
40,0.6264587434363745
41,0.5829266982534838
42,0.5430501275310572
43,0.5064662596368357
44,0.4728526238461928
45,0.4419222527622973
46,0.413419484087741
47,0.38711628358277245
48,0.3628090216849365
49,0.3403156454025013
50,0.3194731949442429
