t,singular_entropy
1,246.00166919869616
2,172.79335007281045
3,130.1854880315199
4,102.5168816019872
5,83.26455614722845
6,69.25877116755817
7,58.732967132889435
8,50.60782356045341
9,44.19302708246658
10,39.0310460224942
11,34.809408706004305
12,31.308761171127497
13,28.371218933389198
14,25.88055222929533
15,23.74946423336342
16,21.911219012082935
17,20.31399992476388
18,18.9170216117365
19,17.687793715728446
20,16.60015754389042
21,15.632852222610481
22,14.768450652414877
23,13.992558424616805
24,13.293202861171123
25,12.660361622767173
26,12.08559520149409
27,11.561757713291707
28,11.082767378426416
29,10.64342296945949
30,10.239255988372138
31,9.86641084809195
32,9.52154717142771
33,9.201759679974812
34,8.904512162229015
35,8.627582777926271
36,8.369018540659226
37,8.127097270260869
38,7.900295654302169
39,7.687262329131599
40,7.486795103468069
41,7.297821615241942
42,7.119382845363597
43,6.950619018101729
44,6.790757502652834
45,6.639102398788844
46,6.495025544661222
47,6.357958729618984
48,6.227386931372536
49,6.102842426658636
50,5.983899649036131
