t,singular_entropy
1,246.55993025441808
2,172.95496444871918
3,129.81259374939413
4,101.74060617426835
5,82.21645069862396
6,68.04298968365988
7,57.426699608909445
8,49.266550095253805
9,42.8553673807511
10,37.72295565411857
11,33.547537262417556
12,30.103055918472258
13,27.226889151817527
14,24.799524471189617
15,22.73144522354475
16,20.954462738800064
17,19.415854756053054
18,18.074315444736936
19,16.897100859548747
20,15.857979956493741
21,14.93573928235636
22,14.113075272491828
23,13.375762535600824
24,12.712021716822122
25,12.112033735504513
26,11.567562762172791
27,11.0716609220867
28,10.61843507719968
29,10.202861219716088
30,9.820635706104989
31,9.468055229829105
32,9.141919381677038
33,8.839451087275679
34,8.55823128591346
35,8.296145023550842
36,8.051336746685543
37,7.822173053183616
38,7.6072115178152195
39,7.405174490676576
40,7.214926985527679
41,7.035457946863227
42,6.865864320130587
43,6.705337457100758
44,6.553151474195401
45,6.408653250316093
46,6.271253806050627
47,6.140420850857375
48,6.015672321135665
49,5.896570761680964
50,5.782718427235364
