t,singular_entropy
1,31.185394377890145
2,22.75548409411248
3,16.351049268423186
4,11.829633478986723
5,8.730833649949865
6,6.612294157565453
7,5.144749996568205
8,4.106564750310982
9,3.353975794743467
10,2.794449169991018
11,2.3680457258587366
12,2.0354242492544103
13,1.7703339052861753
14,1.5549409429216419
15,1.376903206656388
16,1.227518450350005
17,1.1005362656345636
18,0.9913845701334276
19,0.8966584980388405
20,0.8137777377729055
21,0.7407535456862325
22,0.6760281599159259
23,0.6183626394367719
24,0.5667574979400088
25,0.5203958109486228
26,0.4786018982226546
27,0.4408109200406055
28,0.40654620456011203
29,0.3754021117916537
30,0.3470309069880558
31,0.3211325709093476
32,0.2974467868503131
33,0.27574656072795267
34,0.25583308158016677
35,0.23753153606186184
36,0.2206876658108417
37,0.20516491033215617
38,0.1908420167811718
39,0.17761102616817273
40,0.16537556614887725
41,0.15404939585692315
42,0.14355515968298962
43,0.1338233155716493
44,0.12479121004202315
45,0.11640227727660561
46,0.10860534364781806
47,0.10135402223960434
48,0.09460618447364756
49,0.08832349801317742
50,0.08247102180129857
