t,singular_entropy
1,42.037718378781676
2,30.23273584467447
3,24.764022436502678
4,21.59814683968541
5,19.44432286221653
6,17.84217629589436
7,16.588804752950747
8,15.576501372120152
9,14.74000468504243
10,14.036241206034827
11,13.435186464867128
12,12.91513248295753
13,12.459964900054533
14,12.057474817121566
15,11.698256406094291
16,11.374959892972846
17,11.081771037037479
18,10.814040235656282
19,10.56801321706061
20,10.3406322534174
21,10.129387264189289
22,9.932202813401837
23,9.747351328289202
24,9.57338574352043
25,9.409086723077726
26,9.253420951744165
27,9.10550792342567
28,8.964593315501446
29,8.830027513217752
30,8.701248193115552
31,8.577766128218297
32,8.459153566526757
33,8.345034676436029
34,8.235077660685311
35,8.128988223325894
36,8.026504138344304
37,7.927390718625836
38,7.831437023266796
39,7.738452672335316
40,7.648265162903207
41,7.560717599928338
42,7.47566677142691
43,7.392981510157347
44,7.31254129437673
45,7.234235048620375
46,7.157960112284039
47,7.083621349359516
48,7.01113037723401
49,6.940404896200756
50,6.87136810440056
