t,singular_entropy
1,194.00041770929928
2,170.4245958887986
3,144.05135487954502
4,118.98580707780818
5,95.92182553500575
6,74.93115346324205
7,56.54351683281709
8,41.4463131576528
9,29.83699456554885
10,21.32820187829938
11,15.263327102340865
12,10.99499571633317
13,8.000174998905017
14,5.893099688285789
15,4.401270501989768
16,3.3359511028816975
17,2.56741921148928
18,2.00663008031638
19,1.592325927846487
20,1.2821852621336853
21,1.046806837170657
22,0.8656334197201244
23,0.7241885543392226
24,0.6121986242572717
25,0.5223117784056621
26,0.44922008432622407
27,0.38905497879685264
28,0.3389686965349995
29,0.29684282350807856
30,0.26108416294620074
31,0.2304808721183081
32,0.20410042067799075
33,0.1812167255267724
34,0.16125775389579672
35,0.1437675680857816
36,0.12837862027922156
37,0.11479136714452448
38,0.10275914495989656
39,0.09207685030551438
40,0.08257239266962084
41,0.0741001804492788
42,0.0665361096062382
43,0.05977367125965411
44,0.05372089906550691
45,0.04829795200048487
46,0.04343518191894221
47,0.039071574108721564
48,0.0351534773225746
49,0.031633560422980704
50,0.028469947978848588
