t,singular_entropy
1,25.011373194469908
2,18.294812778472984
3,14.097595542267204
4,11.434184402969827
5,9.684178131558461
6,8.493049469362232
7,7.6558155651445015
8,7.049783399521321
9,6.598727751147228
10,6.253703887051826
11,5.982416955198342
12,5.763088335164936
13,5.580775727634388
14,5.425087318360983
15,5.288718962841656
16,5.166494364753943
17,5.054722106778208
18,4.95075751461971
19,4.852699862299386
20,4.7591806521573705
21,4.669214124999846
22,4.582090840572922
23,4.497301393721054
24,4.414481413578383
25,4.333371715533063
26,4.253789317689054
27,4.175606295323205
28,4.098734320461689
29,4.023113344311082
30,3.948703310673091
31,3.8754780941652776
32,3.80342107571823
33,3.7325219252176813
34,3.6627742751402423
35,3.594174052020247
36,3.5267182933088406
37,3.4604043218170317
38,3.3952291828657777
39,3.3311892736485262
40,3.2682801124158325
41,3.206496208565576
42,3.1458310047678015
43,3.0862768697513334
44,3.0278251259799225
45,2.9704661006282636
46,2.9141891913909945
47,2.858982940985312
48,2.8048351159401577
49,2.751732786550276
50,2.6996624058239482
